,Answer,Score
arato,False,221817.5
arava,False,153209.0
aravi,False,165328.5
aravo,False,188654.5
arcai,False,175052.0
arche,False,212306.0
archi,False,199031.0
arcua,False,192096.5
arcui,False,227265.0
arcuo,False,250591.0
ardea,False,199407.5
ardee,False,184123.5
ardii,False,169903.0
ardua,False,176261.5
ardue,False,224705.0
ardui,False,211430.0
arduo,False,234756.0
areai,False,192555.0
areca,False,219571.5
arena,True,220842.5
arene,False,209367.5
areni,False,256011.0
areno,False,279337.0
arera,False,174657.5
arero,False,233152.0
arese,False,215270.5
aresi,False,261914.0
argea,False,199575.5
argee,False,184291.5
argei,False,234744.0
argeo,False,258070.0
arghi,False,183364.0
argon,False,226538.0
argot,False,235721.0
argui,False,211598.0
arida,False,194281.5
aride,False,242725.0
aridi,False,172497.0
arido,False,252776.0
arile,False,254799.0
arili,False,184571.0
arino,False,270545.0
armai,False,167569.0
arnia,False,211425.5
arnie,False,259869.0
aroma,True,216449.5
aromi,False,251618.0
arpia,False,203068.5
arpie,False,251512.0
arrak,False,87605.0
array,False,87605.0
arsii,False,193950.0
artai,False,186573.0
artoa,False,226017.5
artoe,False,274461.0
artoi,False,261186.0
artoo,False,226396.0
asada,False,149166.0
asado,False,184611.5
asana,False,166935.0
asari,False,193237.5
asaro,False,216563.5
aschi,False,189794.0
ascia,False,199975.5
ascio,False,258470.0
asdic,False,210797.0
asili,False,175334.0
asilo,False,255613.0
asina,False,202813.5
asine,False,251257.0
asini,False,181029.0
asino,True,261308.0
asola,False,210622.5
asole,False,259066.0
asoli,False,245791.0
asolo,False,214046.0
aspic,False,220488.0
aspra,False,202141.5
aspre,False,250585.0
aspri,False,237310.0
aspro,False,260636.0
assai,False,117762.0
asset,False,194844.0
aster,False,256613.0
astia,False,211496.5
astio,False,269991.0
astri,False,254975.0
astro,False,278301.0
atano,False,206433.5
atare,False,210565.5
atata,False,129992.5
atate,False,155387.0
atati,False,142112.0
atato,False,165438.0
atava,False,148025.0
atave,False,173419.5
atavi,False,160144.5
atavo,False,183470.5
atciu,False,222747.0
atele,False,198488.5
ateli,False,245132.0
atera,False,229841.5
atero,False,288336.0
atino,False,265361.0
atomi,False,246434.0
atomo,False,214689.0
atona,False,220370.5
atone,False,268814.0
atoni,False,255539.0
atono,False,223794.0
atout,False,178350.5
atrii,False,197301.0
atrio,True,279270.0
attai,False,117758.0
attea,False,157948.5
attee,False,142664.5
attei,False,193117.0
atteo,False,216443.0
attua,False,134802.5
attui,False,169971.0
attuo,False,193297.0
audio,True,228888.0
audit,False,207285.0
auffa,False,111393.0
auggi,False,155181.0
augna,False,164688.5
augni,False,199857.0
augno,False,223183.0
aulii,False,159437.0
aulos,False,221366.0
aunai,False,154281.0
aurai,False,168815.0
aurea,False,209005.5
auree,False,193721.5
aurei,False,244174.0
aureo,False,267500.0
aurio,False,261470.0
ausai,False,160280.0
autos,False,236204.0
avana,False,140420.0
avara,False,154603.0
avare,False,179997.5
avari,False,166722.5
avaro,False,190048.5
avemo,False,234480.0
avena,False,185090.5
avene,False,173615.5
avere,True,187798.5
averi,False,234442.0
avero,False,257768.0
avete,False,183815.5
aveva,False,140777.5
avevi,False,175946.0
avevo,False,199272.0
avida,False,158529.5
avide,False,206973.0
avidi,False,136745.0
avido,False,217024.0
avita,False,186498.5
avite,False,234942.0
aviti,False,164714.0
avito,False,244993.0
avoca,False,188531.5
avoco,False,191955.0
avola,False,184107.5
avole,False,232551.0
avoli,False,219276.0
avolo,False,187531.0
avori,False,239154.0
avrai,False,156047.0
avrei,False,231406.0
avria,False,190207.5
avuta,False,169136.5
avute,False,217580.0
avuti,False,204305.0
avuto,True,227631.0
avvia,False,128960.5
avvii,False,105486.0
avvio,True,187455.0
axone,False,221428.0
axoni,False,208153.0
azera,False,192201.5
azere,False,180726.5
azeri,False,227370.0
azero,False,250696.0
azide,False,199901.0
azidi,False,129673.0
azima,False,160121.5
azime,False,208565.0
azimi,False,138337.0
azimo,False,218616.0
azina,False,169226.5
azine,False,217670.0
azoni,False,217899.0
azota,False,192930.5
azoti,False,228099.0
azoto,False,196354.0
azuki,False,146626.0
babao,False,135737.0
babau,False,95961.0
babbi,False,130689.5
babbo,False,154015.5
bacai,False,151288.0
bacca,False,134448.0
bacco,False,187426.5
bachi,False,169751.0
bacia,False,185448.5
bacie,False,228376.0
bacii,False,156458.0
bacio,True,238427.0
bacon,False,212925.0
badai,False,135453.0
badge,False,188695.0
badgi,False,175420.0
badia,False,169613.5
badie,False,212541.0
baele,False,174392.5
baeli,False,221036.0
baffi,False,140265.5
baffo,False,163591.5
bagel,False,193398.0
bagli,False,187866.0
bagna,False,163908.5
bagne,False,206836.0
bagni,False,193561.0
bagno,True,216887.0
baiai,False,103046.0
baila,False,182591.5
baile,False,225519.0
baili,False,155291.0
bailo,False,235570.0
baino,False,241265.0
baita,False,198486.5
baite,False,241414.0
bakka,False,100929.5
bakke,False,143857.0
bakki,False,130582.0
bakko,False,153908.0
balba,False,134011.0
balbe,False,176938.5
balbi,False,163663.5
balbo,False,186989.5
balco,False,227966.0
balda,False,158489.5
balde,False,201417.0
baldi,False,188142.0
baldo,False,211468.0
balia,False,182131.5
balie,False,225059.0
balii,False,153141.0
balio,False,235110.0
balla,False,133513.5
balle,False,176441.0
balli,False,163166.0
ballo,False,186492.0
balma,False,167153.5
balme,False,210081.0
balsa,False,182161.5
balse,False,225089.0
balta,False,186458.5
balte,False,229386.0
balti,False,216111.0
balto,False,239437.0
balza,False,146165.5
balze,False,189093.0
balzi,False,175818.0
balzo,False,199144.0
bamba,False,129845.0
bambe,False,172772.5
bambi,False,159497.5
bambo,False,182823.5
bambu,False,143047.5
banaa,False,141381.5
banae,False,166776.0
banai,False,153501.0
banao,False,176827.0
banca,True,180517.5
banco,False,233496.0
banda,True,164019.5
bande,False,206947.0
bandi,False,193672.0
bando,False,216998.0
bangi,False,193468.0
banjo,False,194360.0
banna,False,143129.0
banni,False,172781.5
banno,False,196107.5
bantu,False,205191.0
barai,False,168035.0
barba,False,154075.0
barbe,False,197002.5
barbi,False,183727.5
barbo,False,207053.5
barca,True,195051.5
barco,False,248030.0
barda,False,178553.5
barde,False,221481.0
bardi,False,208206.0
bardo,False,231532.0
barge,False,221277.0
baria,False,202195.5
barie,False,245123.0
barii,False,173205.0
bario,False,255174.0
barra,False,154757.5
barre,False,197685.0
barri,False,184410.0
barro,False,207736.0
basai,False,159500.0
basca,False,186516.5
basco,False,239495.0
basic,False,214801.0
basii,False,164670.0
bassa,False,142711.0
basse,False,185638.5
bassi,False,172363.5
basso,True,195689.5
basta,False,197987.5
baste,False,240915.0
basti,False,227640.0
basto,False,250966.0
batch,False,175196.0
batik,False,181410.0
batta,False,153008.0
batte,False,195935.5
batti,False,182660.5
batto,False,205986.5
batua,False,179853.5
baula,False,165229.5
baule,False,208157.0
bauli,False,194882.0
baulo,False,218208.0
bauta,False,181124.5
baute,False,224052.0
bazar,False,127309.0
bazza,False,112261.5
bazze,False,155189.0
beaci,False,219489.0
beala,False,179601.0
beale,False,173988.5
beali,False,215065.0
bealo,False,238391.0
beami,False,211655.0
beane,False,179683.5
beano,False,244086.0
beare,False,193866.5
beata,False,195496.0
beate,False,189883.5
beati,False,230960.0
beato,False,254286.0
beava,False,162333.0
beavi,False,197797.0
beavo,False,221123.0
bebop,False,156626.0
becca,False,178663.5
becco,False,176186.5
beche,False,117434.5
bechi,False,158511.0
beera,False,194533.0
beero,False,192056.0
beffa,False,154828.5
beffe,False,87949.0
beffi,False,129025.5
beffo,False,152351.5
begai,False,195104.0
beggi,False,137645.0
beghe,False,101767.5
beghi,False,142844.0
begia,False,213997.0
begli,False,176626.0
begum,False,156046.0
beige,False,147649.5
beigi,False,131773.0
beino,False,230025.0
beisa,False,238405.0
beise,False,171525.5
belai,False,207454.0
belga,False,202501.0
belgi,False,176698.0
belii,False,141901.0
belio,False,223870.0
bella,False,177729.0
belle,False,110849.5
belli,False,151926.0
bello,True,175252.0
belta,False,230674.0
belva,False,197511.0
belve,False,130631.5
bembe,False,107181.0
benai,False,212984.0
benda,False,208235.0
bende,False,141355.5
bendi,False,182432.0
bendo,False,205758.0
benna,True,187344.5
benne,False,120465.0
bensi,False,206104.0
beola,False,240311.0
beole,False,173431.5
beona,False,246006.0
beone,False,179126.5
beoni,False,220203.0
beota,False,256206.0
beote,False,189326.5
beoti,False,230403.0
berci,False,213464.0
berga,False,222565.0
berla,False,234843.0
berle,False,167963.5
berli,False,209040.0
berlo,False,232366.0
berma,False,231433.0
berme,False,164553.5
bermi,False,205630.0
berne,False,173658.5
berra,False,198973.0
berro,False,196496.0
bersi,False,220638.0
berso,False,243964.0
berta,False,250738.0
berte,False,183858.5
berti,False,224935.0
beruf,False,176130.0
bervi,False,191772.0
berza,False,210445.0
berze,False,143565.5
besce,False,163852.5
besci,False,204929.0
bessa,False,186926.5
besse,False,120047.0
bessi,False,161123.5
besso,False,184449.5
betel,False,144593.0
beton,False,213206.0
betta,False,197223.5
bette,False,130344.0
beuta,False,225340.0
beute,False,158460.5
bevei,False,124123.0
bevve,False,91156.5
bevvi,False,132233.0
bezzi,False,130674.0
bezzo,False,154000.0
biada,False,156891.0
biade,False,205630.0
biadi,False,138782.0
biado,False,215681.0
biava,False,151697.0
biave,False,200436.0
biavi,False,133588.0
biavo,False,210487.0
bibbi,False,55240.5
bicci,False,88651.5
biche,False,161150.0
bidet,False,185143.0
bieca,False,229387.0
bieco,False,226910.0
bieta,False,240858.0
biete,False,168411.5
biffa,False,144192.5
biffe,False,131664.5
biffi,False,64816.5
biffo,False,141715.5
bighe,False,145483.0
bighi,False,78635.0
bigia,False,151816.0
bigie,False,139288.0
bigio,False,149339.0
bigiu,False,109563.0
bigne,False,184960.0
bijou,False,143820.0
biker,False,164934.0
bilia,False,164166.0
bilie,False,151638.0
bille,False,154565.0
billi,False,87717.0
bilta,False,220038.0
bimba,False,163424.5
bimbe,False,150896.5
bimbi,False,84048.5
bimbo,False,160947.5
binai,False,148775.0
binda,False,197599.0
binde,False,185071.0
bindi,False,118223.0
binga,False,197395.0
binge,False,184867.0
bingo,False,194918.0
biodi,False,138225.0
biodo,False,160053.0
bioma,False,226265.0
biomi,False,146889.0
biosi,False,161897.0
biova,False,212407.0
biove,False,199879.0
birba,False,187654.5
birbe,False,175126.5
birbi,False,108278.5
birbo,False,185177.5
birce,False,216103.0
birci,False,149255.0
birra,True,188337.0
birre,False,175809.0
birri,False,108961.0
birro,False,185860.0
bisca,False,220096.0
bisce,False,207568.0
bisci,False,140720.0
bisex,False,162721.0
bissa,False,176290.5
bissi,False,96914.5
bisso,False,173813.5
bista,False,231567.0
biste,False,219039.0
bisti,False,152191.0
bitta,False,186587.5
bitte,False,174059.5
bitti,False,107211.5
bitto,False,184110.5
biuta,False,214704.0
biute,False,202176.0
biuti,False,135328.0
biuto,False,212227.0
bivio,False,143991.0
bizza,False,145841.0
bizze,False,133313.0
blase,False,215442.0
bleah,False,159496.0
blesa,False,222701.0
blese,False,150254.5
blesi,False,196898.0
bleso,False,220224.0
blimp,False,159456.0
blini,False,125250.0
bliny,False,136991.0
blitz,False,157403.0
block,False,149224.0
bloom,False,118752.0
blues,False,174746.0
bluff,False,88652.0
blumi,False,155736.0
blumo,False,179062.0
blusa,False,196547.0
bluse,False,184019.0
boara,False,209937.0
board,False,222183.0
boare,False,258676.0
boari,False,245401.0
boaro,False,217919.0
boati,False,241418.0
boato,False,213936.0
bobba,False,155710.5
bobbe,False,143182.5
bobbi,False,129907.5
bobbo,False,102425.5
bocca,True,189121.5
bocce,False,176593.5
bocci,False,163318.5
bocco,False,135836.5
boche,False,182244.0
bocia,False,240122.0
bocio,False,186837.0
bodda,False,174977.0
bodde,False,162449.0
boema,False,242647.0
boeme,False,170200.5
boemi,False,216844.0
boemo,False,189362.0
boera,False,265935.0
boere,False,193488.5
boeri,False,240132.0
boero,False,212650.0
boghe,False,166577.0
bogli,False,187084.0
bohri,False,185320.0
boide,False,212663.0
boidi,False,142435.0
boina,False,242960.0
boite,False,240632.0
boldi,False,187360.0
boldo,False,159878.0
bolge,False,200431.0
bolla,True,188187.0
bolle,False,175659.0
bolli,False,162384.0
bollo,True,134902.0
bolsa,False,236835.0
bolse,False,224307.0
bolsi,False,211032.0
bolso,False,183550.0
bomba,True,184518.5
bombe,False,171990.5
bombi,False,158715.5
bombo,False,131233.5
bomii,False,148193.0
bonci,False,209388.0
bonet,False,224285.0
bongo,False,165204.0
bonne,False,185274.5
bonta,False,246662.0
bonus,True,197418.0
bonza,False,206369.0
bonze,False,193841.0
bonzi,False,180566.0
bonzo,False,153084.0
borda,False,233227.0
borde,False,220699.0
bordi,False,207424.0
bordo,True,179942.0
borea,False,262899.0
borei,False,237096.0
borgo,False,179738.0
boria,False,256869.0
borie,False,244341.0
borii,False,172423.0
borio,False,203584.0
borni,False,225193.0
borra,False,209431.0
borre,False,196903.0
borri,False,183628.0
borro,False,156146.0
borsa,True,256899.0
borsc,False,222584.0
borse,False,244371.0
bosco,True,187905.0
bossi,False,171581.5
bosso,False,144099.5
botai,False,232750.0
botri,False,234150.0
botro,False,206668.0
botta,False,207681.5
botte,False,195153.5
botti,False,181878.5
botto,False,154396.5
boule,False,207375.0
boxai,False,183456.0
boxer,False,186494.0
bozza,True,166935.0
bozze,False,154407.0
bozzi,False,141132.0
bozzo,False,113650.0
braca,False,178735.0
brace,True,227474.0
braci,False,214199.0
braco,False,237525.0
brada,False,162237.0
brade,False,210976.0
bradi,False,197701.0
brado,False,221027.0
braga,False,162033.0
brage,False,210772.0
brago,False,220823.0
braii,False,162700.0
brama,False,170901.0
brame,False,219640.0
brami,False,206365.0
bramo,False,229691.0
brand,False,192252.0
brani,False,215470.0
brano,False,238796.0
brasa,False,185909.0
brasi,False,221373.0
braso,False,244699.0
brava,False,157043.0
brave,False,205782.0
bravi,False,192507.0
bravo,True,215833.0
break,False,177772.0
bremi,False,201096.0
bremo,False,224422.0
brent,False,211924.0
breva,False,213041.0
breve,True,140594.5
brevi,False,187238.0
brica,False,225941.0
brice,False,213413.0
brici,False,143185.0
brida,False,209443.0
bride,False,196915.0
brief,False,185950.0
briga,False,209239.0
brige,False,196711.0
brigi,False,126483.0
brigo,False,206762.0
brina,False,227212.0
brine,False,214684.0
brini,False,144456.0
brino,False,224735.0
broda,False,222947.0
brode,False,210419.0
brodi,False,197144.0
brodo,False,165399.0
broge,False,210215.0
brogi,False,196940.0
broli,False,209218.0
brolo,False,177473.0
bromi,False,205808.0
bromo,False,174063.0
brova,False,217753.0
brovi,False,191950.0
brovo,False,160205.0
bruca,False,208579.0
bruce,False,196051.0
bruci,False,182776.0
bruco,False,206102.0
brugi,False,166074.0
brugo,False,189400.0
bruii,False,131277.0
brule,False,191627.0
bruma,False,200745.0
brume,False,188217.0
bruna,False,209850.0
brune,False,197322.0
bruni,False,184047.0
bruno,False,207373.0
brusi,False,189950.0
bruta,False,220050.0
brute,False,207522.0
bruti,False,194247.0
bruto,False,217573.0
bruzi,False,153954.0
buana,False,157022.0
bubai,False,143620.0
bucai,False,182497.0
bucce,False,137861.5
bucci,False,124586.5
buche,False,143512.0
buchi,False,130237.0
bucio,False,198913.0
budda,False,136245.0
buddi,False,110442.0
bufai,False,162149.0
buffa,False,126554.5
buffe,False,114026.5
buffi,False,100751.5
buffo,False,124077.5
bugia,False,185723.0
bugie,False,173195.0
bugio,False,183246.0
bugli,False,148352.0
bugna,False,179850.0
bugne,False,167322.0
bugni,False,154047.0
bugno,False,177373.0
buina,False,204228.0
buine,False,191700.0
bulai,False,179180.0
bulbi,False,124149.5
bulbo,False,147475.5
bulge,False,161699.0
bulla,False,149455.0
bulle,False,136927.0
bulli,False,123652.0
bullo,False,146978.0
bumba,False,145786.5
bumbe,False,133258.5
bunet,False,185553.0
buona,False,217732.0
buone,False,205204.0
buoni,False,191929.0
buono,True,160184.0
burba,False,170016.5
burbe,False,157488.5
burga,False,194291.0
burka,False,171857.0
burla,False,206569.0
burle,False,194041.0
burli,False,180766.0
burlo,False,204092.0
burqa,False,173709.0
burri,False,144896.0
burro,True,168222.0
burst,False,194087.0
busaa,False,151994.5
busae,False,203984.0
busai,False,190709.0
busao,False,214035.0
busca,False,202458.0
busco,False,199981.0
bushi,False,138449.0
bussa,False,158652.5
busse,False,146124.5
bussi,False,132849.5
busso,False,156175.5
busta,True,213929.0
buste,False,201401.0
busti,False,188126.0
busto,False,211452.0
butta,False,168949.5
butte,False,156421.5
butti,False,143146.5
butto,False,166472.5
buyer,False,147296.0
buzza,False,128203.0
buzze,False,115675.0
buzzi,False,102400.0
buzzo,False,125726.0
bwaka,False,86563.0
bwana,False,126970.0
caaba,False,150976.0
caban,False,144689.0
cabla,False,174741.5
cable,False,217669.0
cabli,False,204394.0
cablo,False,227720.0
cabra,False,194619.5
cabri,False,224272.0
cabro,False,247598.0
cacai,False,131158.5
cacao,False,154484.5
cacca,False,129182.0
cacce,False,172109.5
cacci,False,158834.5
cache,False,162896.5
cachi,False,149621.5
cacia,False,165319.0
cacio,False,218297.5
cacti,False,199298.5
cacto,False,222624.5
cadde,False,186591.0
caddi,False,173316.0
cadmi,False,207648.0
cadra,False,201283.5
cadro,False,254262.0
caffa,False,133973.0
caffe,False,176900.5
caffi,False,163625.5
caffo,False,186951.5
cafra,False,196770.5
cafre,False,239698.0
cafri,False,226423.0
cafro,False,249749.0
cagai,False,158981.0
caghi,False,177444.0
cagiu,False,206344.0
cagli,False,211226.0
cagna,True,187268.5
cagne,False,230196.0
caiac,False,127871.0
caiba,False,186854.5
caibe,False,229782.0
caina,False,211646.5
caine,False,254574.0
caini,False,184346.0
caino,False,264625.0
cairn,False,248022.0
cajun,False,175646.0
calai,False,171331.0
calao,False,194657.0
calca,False,159078.5
calce,False,202006.0
calci,False,188731.0
calco,False,212057.0
calda,False,181849.5
