,Characters,Answer
ㄅㄛㄌㄧㄥ,伯靈/伯陵,False
ㄅㄛㄌㄨㄙ,勃露斯,False
ㄅㄛㄌㄨㄛ,剝落/薄落,False
ㄅㄛㄌㄨㄢ,播亂/撥亂,False
ㄅㄛㄍㄥㄗ,脖頸子,False
ㄅㄛㄍㄥㄦ,脖頸兒,False
ㄅㄛㄍㄨㄚ,瓟瓜,False
ㄅㄛㄍㄨㄟ,撥龜,False
ㄅㄛㄍㄨㄢ,博貫,False
ㄅㄛㄍㄨㄤ,波光,False
ㄅㄛㄍㄨㄥ,伯公/撥弓,False
ㄅㄛㄍㄨㄦ,博古兒,False
ㄅㄛㄎㄨㄢ,撥款,False
ㄅㄛㄏㄨㄚ,玻化/擘畫,False
ㄅㄛㄏㄨㄛ,撥火/柏濩,False
ㄅㄛㄏㄨㄞ,泊懷,False
ㄅㄛㄏㄨㄟ,駁回,False
ㄅㄛㄏㄨㄢ,博換/薄宦,False
ㄅㄛㄐㄧㄝ,撥接/駁詰,False
ㄅㄛㄐㄧㄠ,跛腳/撥交,False
ㄅㄛㄐㄧㄡ,柏酒/砵酒,False
ㄅㄛㄐㄧㄢ,薄賤/擘牋,False
ㄅㄛㄐㄧㄣ,剝盡/波津,False
ㄅㄛㄐㄩㄝ,跛蹶/渤潏,False
ㄅㄛㄑㄧㄚ,博洽,False
ㄅㄛㄑㄧㄠ,波俏/波峭,False
ㄅㄛㄑㄧㄢ,撥錢/簸錢,False
ㄅㄛㄑㄧㄣ,薄親,False
ㄅㄛㄑㄧㄤ,伯強,False
ㄅㄛㄑㄧㄥ,薄情,False
ㄅㄛㄑㄩㄝ,薄怯,False
ㄅㄛㄑㄩㄣ,波群,False
ㄅㄛㄒㄧㄠ,薄曉,False
ㄅㄛㄒㄧㄢ,撥弦,False
ㄅㄛㄒㄧㄤ,薄相/孛相,False
ㄅㄛㄒㄧㄥ,薄行/波形,False
ㄅㄛㄒㄩㄝ,剝削/博學,False
ㄅㄛㄒㄩㄥ,伯兄,False
ㄅㄛㄓㄠㄕ,伯趙氏,False
ㄅㄛㄓㄨㄛ,薄酌/剝啄,False
ㄅㄛㄓㄨㄤ,薄裝,False
ㄅㄛㄓㄨㄥ,播種/伯仲,False
ㄅㄛㄔㄨㄢ,駁船/泊船,False
ㄅㄛㄕㄠㄓ,薄紹之,False
ㄅㄛㄕㄨㄛ,瓝槊,False
ㄅㄛㄕㄨㄞ,撥甩,False
ㄅㄛㄖㄨㄛ,薄弱,False
ㄅㄛㄖㄨㄢ,撥阮,False
ㄅㄛㄖㄨㄥ,撥冗,False
ㄅㄛㄗㄧㄚ,伯子牙,False
ㄅㄛㄗㄨㄟ,撥嘴/薄醉,False
ㄅㄛㄘㄨㄟ,薄脆,False
ㄅㄛㄙㄐㄩ,波斯菊,False
ㄅㄛㄙㄨㄥ,播送,False
ㄅㄛㄧㄈㄨ,伯夷父,False
ㄅㄛㄧㄎㄠ,伯邑考,False
ㄅㄛㄧㄡㄓ,柏油紙,False
ㄅㄛㄨㄩㄢ,博物院,False
ㄅㄛㄩㄊㄡ,缽盂頭,False
ㄅㄞㄅㄚㄗ,拜把子,False
ㄅㄞㄅㄠㄓ,白報紙,False
ㄅㄞㄅㄧㄝ,拜別,False
ㄅㄞㄅㄧㄠ,拜表,False
ㄅㄞㄅㄧㄥ,百病,False
ㄅㄞㄆㄧㄠ,拜票,False
ㄅㄞㄆㄧㄣ,白蘋,False
ㄅㄞㄆㄧㄥ,擺平,False
ㄅㄞㄆㄨㄦ,擺譜兒,False
ㄅㄞㄇㄚㄙ,白馬寺,False
ㄅㄞㄇㄚㄦ,百嗎兒,False
ㄅㄞㄇㄚㄧ,白螞蟻,False
ㄅㄞㄇㄣㄗ,擺門子,False
ㄅㄞㄇㄧㄠ,白描,False
ㄅㄞㄇㄧㄢ,白面/白麵,False
ㄅㄞㄇㄧㄥ,擺明/拜命,True
ㄅㄞㄇㄨㄦ,白木耳,False
ㄅㄞㄈㄣㄓ,百分制,False
ㄅㄞㄈㄨㄗ,白附子,False
ㄅㄞㄉㄞㄩ,白帶魚,False
ㄅㄞㄉㄧㄢ,白顛/拜墊,False
ㄅㄞㄉㄧㄥ,白丁,False
ㄅㄞㄉㄨㄛ,白墮,False
ㄅㄞㄉㄨㄢ,百端,False
ㄅㄞㄉㄨㄥ,擺動/白洞,False
ㄅㄞㄊㄢㄗ,擺攤子,False
ㄅㄞㄊㄧㄝ,拜帖/白鐵,False
ㄅㄞㄊㄧㄠ,白條/白鰷,False
ㄅㄞㄊㄧㄢ,白天,False
ㄅㄞㄊㄨㄗ,白土子,False
ㄅㄞㄊㄨㄛ,擺脫/拜託,True
ㄅㄞㄊㄨㄟ,敗退,False
ㄅㄞㄊㄨㄢ,白團,False
ㄅㄞㄊㄨㄥ,白銅/白桐,False
ㄅㄞㄋㄚㄧ,百衲衣,False
ㄅㄞㄋㄧㄠ,白鳥/百鳥,False
ㄅㄞㄋㄧㄢ,拜年/百年,True
ㄅㄞㄋㄨㄥ,擺弄/擺弄,False
ㄅㄞㄌㄤㄗ,擺浪子,False
ㄅㄞㄌㄧㄝ,擺列,False
ㄅㄞㄌㄧㄠ,百僚/百寮,False
ㄅㄞㄌㄧㄡ,百六/敗柳,False
ㄅㄞㄌㄧㄢ,白臉/白練,False
ㄅㄞㄌㄧㄣ,白磷,False
ㄅㄞㄌㄧㄤ,白糧,False
ㄅㄞㄌㄧㄥ,白領/百靈,False
ㄅㄞㄌㄨㄓ,白鹿紙,False
ㄅㄞㄌㄨㄙ,白鷺鷥,False
ㄅㄞㄌㄨㄛ,白落/敗落,False
ㄅㄞㄌㄨㄣ,百論,False
ㄅㄞㄍㄨㄛ,白果/百果,False
ㄅㄞㄍㄨㄟ,白圭/白珪,False
ㄅㄞㄍㄨㄢ,白鸛/百官,False
ㄅㄞㄍㄨㄤ,白光,False
ㄅㄞㄍㄨㄥ,白宮/百工,False
ㄅㄞㄎㄨㄛ,擺闊,False
ㄅㄞㄎㄨㄞ,白快,False
ㄅㄞㄎㄨㄟ,百揆,False
ㄅㄞㄎㄨㄢ,擺款,False
ㄅㄞㄏㄨㄚ,白話/白花,False
ㄅㄞㄏㄨㄛ,百貨/敗火,False
ㄅㄞㄏㄨㄞ,敗壞,False
ㄅㄞㄏㄨㄟ,拜會/百會,False
ㄅㄞㄏㄨㄢ,白環,False
ㄅㄞㄏㄨㄣ,白混,False
ㄅㄞㄏㄨㄤ,白謊/掰謊,False
ㄅㄞㄏㄨㄥ,白虹/白澒,False
ㄅㄞㄐㄧㄚ,敗家/百家,False
ㄅㄞㄐㄧㄝ,百結/拜節,False
ㄅㄞㄐㄧㄠ,白教/白膠,False
ㄅㄞㄐㄧㄡ,擺酒/白酒,False
ㄅㄞㄐㄧㄢ,拜見/白簡,False
ㄅㄞㄐㄧㄣ,白金/百金,False
ㄅㄞㄐㄧㄤ,敗醬,False
ㄅㄞㄐㄧㄥ,白淨,False
ㄅㄞㄐㄩㄝ,拜爵,False
ㄅㄞㄐㄩㄢ,白卷,False
ㄅㄞㄐㄩㄣ,白軍/敗軍,False
ㄅㄞㄐㄩㄧ,白居易,False
ㄅㄞㄑㄧㄢ,白前/白錢,False
ㄅㄞㄑㄧㄣ,拜親,False
ㄅㄞㄑㄧㄤ,白鏹,False
ㄅㄞㄑㄩㄝ,敗缺,False
ㄅㄞㄒㄧㄚ,拜匣,False
ㄅㄞㄒㄧㄝ,拜謝,False
ㄅㄞㄒㄧㄠ,白蛸,False
ㄅㄞㄒㄧㄢ,白癬/白蘚,False
ㄅㄞㄒㄧㄤ,白相/拜相,False
ㄅㄞㄒㄧㄥ,百姓/敗行,True
ㄅㄞㄒㄩㄝ,白雪,False
ㄅㄞㄒㄩㄥ,白熊,False
ㄅㄞㄓㄨㄛ,白濁,False
ㄅㄞㄓㄨㄤ,白撞,False
ㄅㄞㄓㄨㄥ,擺鐘,False
ㄅㄞㄔㄉㄥ,白熾燈,False
ㄅㄞㄔㄞㄕ,白差使,False
ㄅㄞㄔㄤㄩ,白鯧魚,False
ㄅㄞㄔㄨㄢ,百川,False
ㄅㄞㄔㄨㄣ,拜春,False
ㄅㄞㄕㄓㄕ,百世之師,False
ㄅㄞㄕㄕㄣ,白石神,False
ㄅㄞㄕㄜㄦ,擺設兒,False
ㄅㄞㄕㄨㄛ,白說/擺搠,False
ㄅㄞㄕㄨㄟ,白水,False
ㄅㄞㄕㄨㄣ,百順,False
ㄅㄞㄖㄇㄥ,白日夢,False
ㄅㄞㄖㄎㄜ,百日咳,False
ㄅㄞㄖㄗㄟ,白日賊,False
ㄅㄞㄖㄘㄠ,百日草,False
ㄅㄞㄖㄨㄟ,白桵,False
ㄅㄞㄖㄨㄩ,白如玉,False
ㄅㄞㄗㄊㄨ,百子圖,False
ㄅㄞㄗㄒㄧ,白字戲,False
ㄅㄞㄗㄓㄤ,百子帳,False
ㄅㄞㄗㄨㄛ,白做,False
ㄅㄞㄗㄨㄟ,百晬,False
ㄅㄞㄘㄨㄛ,敗挫,False
ㄅㄞㄙㄨㄛ,百索,False
ㄅㄞㄙㄨㄟ,百歲/敗歲,False
ㄅㄞㄙㄨㄣ,敗損,False
ㄅㄞㄙㄨㄥ,白松,False
ㄅㄞㄜㄏㄨ,白額虎,False
ㄅㄞㄜㄐㄧ,白堊紀,False
ㄅㄞㄜㄒㄧ,白堊系,False
ㄅㄞㄜㄧㄢ,白額雁,False
ㄅㄞㄧㄖㄣ,白衣人,False
ㄅㄞㄧㄗㄨ,拜衣族,False
ㄅㄞㄧㄤㄗ,擺樣子,False
ㄅㄞㄨㄧㄕ,百無一是,False
ㄅㄞㄨㄧㄦ,百無一二,False
ㄅㄞㄩㄈㄣ,白魚粉,False
ㄅㄞㄩㄌㄡ,白玉樓,False
ㄅㄞㄩㄌㄢ,白玉蘭,False
ㄅㄞㄩㄣㄕ,白雲石,False
ㄅㄟㄅㄧㄠ,背褾,False
ㄅㄟㄅㄧㄢ,北邊,False
ㄅㄟㄆㄢㄨ,杯盤舞,False
ㄅㄟㄆㄧㄠ,北票,False
ㄅㄟㄆㄧㄢ,被騙,False
ㄅㄟㄆㄧㄣ,備品,False
ㄅㄟㄇㄧㄡ,悖謬/悖繆,False
ㄅㄟㄇㄧㄢ,杯麵/背面,True
ㄅㄟㄇㄧㄣ,悲憫,False
ㄅㄟㄇㄧㄥ,杯茗/北冥,False
ㄅㄟㄈㄣㄕ,悲憤詩,False
ㄅㄟㄉㄚㄗ,被搭子,False
ㄅㄟㄉㄧㄢ,杯墊,False
ㄅㄟㄉㄨㄛ,貝多,False
ㄅㄟㄉㄨㄥ,被動,False
ㄅㄟㄊㄧㄝ,碑帖,False
ㄅㄟㄊㄧㄢ,悲田,False
ㄅㄟㄊㄧㄥ,背聽/北庭,False
ㄅㄟㄊㄨㄛ,備妥,False
ㄅㄟㄊㄨㄥ,悲痛/悲慟,False
ㄅㄟㄌㄜㄕ,背了時,False
ㄅㄟㄌㄧㄝ,卑劣,False
ㄅㄟㄌㄧㄠ,備料,False
ㄅㄟㄌㄧㄡ,輩流,False
ㄅㄟㄌㄧㄢ,悲憐,False
ㄅㄟㄌㄧㄣ,北林/碑林,False
ㄅㄟㄌㄧㄤ,悲涼/北涼,False
ㄅㄟㄌㄧㄥ,北嶺/碑嶺,False
ㄅㄟㄌㄨㄢ,悖亂,False
ㄅㄟㄌㄨㄣ,卑論/悖倫,False
ㄅㄟㄍㄨㄛ,北國/杯鍋,False
ㄅㄟㄍㄨㄢ,悲觀/北管,False
ㄅㄟㄍㄨㄤ,背光,False
ㄅㄟㄍㄨㄥ,背工/背躬,False
ㄅㄟㄏㄞㄢ,北海岸,False
ㄅㄟㄏㄨㄚ,背花,False
ㄅㄟㄏㄨㄛ,北貨,False
ㄅㄟㄏㄨㄞ,悲懷,False
ㄅㄟㄏㄨㄟ,背悔/背晦,False
ㄅㄟㄏㄨㄢ,悲歡,False
ㄅㄟㄏㄨㄤ,備荒,False
ㄅㄟㄐㄧㄚ,備家/悲笳,False
ㄅㄟㄐㄧㄝ,碑碣,False
ㄅㄟㄐㄧㄠ,杯珓/杯筊,False
ㄅㄟㄐㄧㄡ,被酒,False
ㄅㄟㄐㄧㄢ,卑賤/卑見,False
ㄅㄟㄐㄧㄣ,卑謹/貝錦,False
ㄅㄟㄐㄧㄥ,背景/北京,False
ㄅㄟㄐㄩㄝ,倍覺,False
ㄅㄟㄑㄧㄝ,悲切,False
ㄅㄟㄑㄧㄡ,被囚/悲秋,False
ㄅㄟㄑㄧㄥ,悲情,False
ㄅㄟㄑㄩㄝ,北闕/卑怯,False
ㄅㄟㄑㄩㄢ,杯圈/北拳,False
ㄅㄟㄒㄧㄚ,卑下,False
ㄅㄟㄒㄧㄣ,背心/悲心,True
ㄅㄟㄒㄧㄤ,背巷,False
ㄅㄟㄒㄧㄥ,杯行/背興,False
ㄅㄟㄒㄩㄝ,北學/碑學,False
ㄅㄟㄒㄩㄣ,備詢,False
ㄅㄟㄓㄌㄧ,北直隸,False
ㄅㄟㄓㄨㄛ,杯酌/盃酌,False
ㄅㄟㄓㄨㄤ,悲壯,False
ㄅㄟㄓㄨㄥ,貝塚,False
ㄅㄟㄔㄨㄟ,北垂,False
ㄅㄟㄔㄨㄢ,碑穿,False
ㄅㄟㄔㄨㄤ,悲愴,False
ㄅㄟㄕㄨㄟ,背水,False
ㄅㄟㄗㄓㄨ,被子植物,False
ㄅㄟㄗㄨㄥ,北宗,False
ㄅㄟㄘㄨㄟ,悲摧,False
ㄅㄟㄙㄨㄢ,悲酸,False
ㄅㄟㄙㄨㄥ,背誦/北宋,False
ㄅㄟㄢㄎㄨ,備安庫,False
ㄅㄟㄦㄍㄠ,北二高,False
ㄅㄟㄦㄏㄨ,貝爾湖,False
ㄅㄟㄧㄩㄢ,貝義淵,False
ㄅㄠㄅㄢㄓ,包班制,False
ㄅㄠㄅㄧㄠ,保鑣/保鏢,False
ㄅㄠㄅㄧㄢ,豹變/褒貶,False
ㄅㄠㄅㄧㄥ,暴病/抱病,False
ㄅㄠㄆㄧㄠ,保票/包票,False
ㄅㄠㄆㄧㄣ,報聘,False
ㄅㄠㄆㄧㄥ,寶瓶,False
ㄅㄠㄆㄨㄗ,抱朴子,False
ㄅㄠㄇㄧㄣ,暴民,False
ㄅㄠㄇㄧㄥ,報名/保命,False
ㄅㄠㄈㄥㄩ,暴風雨,False
ㄅㄠㄉㄞㄓ,包待制,False
ㄅㄠㄉㄧㄝ,暴跌,False
ㄅㄠㄉㄧㄢ,寶典/寶殿,False
ㄅㄠㄉㄧㄥ,保定/寶鼎,False
ㄅㄠㄉㄨㄥ,暴動,False
ㄅㄠㄉㄨㄦ,爆肚兒,False
ㄅㄠㄊㄚㄕ,寶塔詩,False
ㄅㄠㄊㄡㄕ,包頭市,False
ㄅㄠㄊㄧㄝ,報帖,False
ㄅㄠㄊㄧㄠ,報條,False
ㄅㄠㄊㄧㄢ,暴殄,False
ㄅㄠㄊㄨㄢ,報團,False
ㄅㄠㄊㄨㄥ,包通/報童,False
ㄅㄠㄋㄧㄝ,寶鑷,False
ㄅㄠㄋㄧㄠ,鴇鳥,False
ㄅㄠㄋㄨㄢ,飽暖,False
ㄅㄠㄋㄩㄝ,暴虐,False
ㄅㄠㄌㄧㄓ,豹立直,False
ㄅㄠㄌㄧㄝ,爆裂/暴烈,False
ㄅㄠㄌㄧㄡ,保留,False
ㄅㄠㄌㄧㄢ,暴斂,False
ㄅㄠㄌㄧㄣ,保林,False
ㄅㄠㄌㄨㄛ,包羅/抱鑼,False
ㄅㄠㄌㄨㄢ,暴亂,False
ㄅㄠㄌㄨㄥ,包籠,False
ㄅㄠㄌㄩㄝ,豹略/暴掠,False
ㄅㄠㄍㄜㄦ,飽嗝兒,False
ㄅㄠㄍㄨㄛ,包裹/報國,False
ㄅㄠㄍㄨㄟ,寶貴/暴貴,True
ㄅㄠㄍㄨㄢ,報館/保管,False
ㄅㄠㄍㄨㄤ,葆光,False
ㄅㄠㄍㄨㄥ,包公/包工,False
ㄅㄠㄎㄨㄛ,包括,False
ㄅㄠㄎㄨㄟ,抱愧,False
ㄅㄠㄏㄠㄙ,包浩斯,False
ㄅㄠㄏㄨㄚ,鉋花,False
ㄅㄠㄏㄨㄛ,包伙/寶貨,False
ㄅㄠㄏㄨㄢ,包換/豹環,False
ㄅㄠㄏㄨㄤ,包荒,False
ㄅㄠㄏㄨㄥ,暴洪,False
ㄅㄠㄐㄧㄚ,報價/保家,False
ㄅㄠㄐㄧㄝ,保結/報界,False
ㄅㄠㄐㄧㄠ,保教/包腳,False
ㄅㄠㄐㄧㄢ,寶劍/保健,False
ㄅㄠㄐㄧㄣ,包金/報禁,False
ㄅㄠㄐㄧㄤ,褒獎/保獎,False
ㄅㄠㄐㄧㄥ,報警/保警,False
ㄅㄠㄐㄩㄢ,寶卷/寶眷,False
ㄅㄠㄐㄩㄣ,暴君,False
ㄅㄠㄑㄧㄡ,抱球,False
ㄅㄠㄑㄧㄢ,抱歉/報錢,True
ㄅㄠㄑㄧㄣ,保親/抱琴,False
ㄅㄠㄑㄧㄥ,報請/寶慶,False
ㄅㄠㄑㄩㄢ,保全/抱拳,False
ㄅㄠㄑㄩㄣ,抱裙,False
ㄅㄠㄒㄧㄚ,暴下,False
ㄅㄠㄒㄧㄝ,報謝,False
ㄅㄠㄒㄧㄠ,爆笑/報銷,False
ㄅㄠㄒㄧㄡ,報修,False
ㄅㄠㄒㄧㄢ,保險/保鮮,True
ㄅㄠㄒㄧㄣ,報信,False
ㄅㄠㄒㄧㄤ,寶相/包廂,False
ㄅㄠㄒㄧㄥ,暴行/寶星,False
ㄅㄠㄒㄩㄝ,飽學/鉋削,False
ㄅㄠㄒㄩㄥ,胞兄,False
ㄅㄠㄓㄚㄨ,爆炸物,False
ㄅㄠㄓㄤㄕ,保章氏,False
ㄅㄠㄓㄨㄣ,保准/包准,False
ㄅㄠㄓㄨㄤ,包裝/報狀,True
ㄅㄠㄓㄨㄥ,保重/寶重,True
ㄅㄠㄔㄨㄢ,包船,False
ㄅㄠㄔㄨㄤ,寶幢/鉋床,False
ㄅㄠㄔㄨㄥ,苞蟲,False
ㄅㄠㄕㄋㄤ,鮑氏囊,False
ㄅㄠㄕㄔㄣ,包世臣,False
ㄅㄠㄕㄖㄣ,報事人,False
ㄅㄠㄕㄨㄟ,報稅/保稅,False
ㄅㄠㄖㄨㄥ,包容/包融,False
ㄅㄠㄗㄊㄧ,胞子體,False
ㄅㄠㄗㄋㄤ,孢子囊,False
ㄅㄠㄗㄑㄧ,胞子器,False
ㄅㄠㄗㄓㄨ,孢子植物,False
ㄅㄠㄗㄧㄝ,孢子葉,False
ㄅㄠㄗㄨㄛ,寶座/寶祚,False
ㄅㄠㄗㄨㄟ,抱罪,False
ㄅㄠㄘㄨㄣ,保存,True
ㄅㄠㄙㄨㄟ,報歲,False
ㄅㄠㄙㄨㄣ,苞筍,False
ㄅㄠㄙㄨㄥ,保送,False
ㄅㄠㄢㄗㄨ,保安族,False
ㄅㄠㄩㄍㄨ,鮑魚菇,False
ㄅㄠㄩㄓㄙ,鮑魚之肆,False
ㄅㄠㄩㄩㄢ,保育員,False
ㄅㄢㄅㄟㄗ,半輩子,False
ㄅㄢㄅㄠㄦ,半包兒,False
ㄅㄢㄅㄧㄝ,班別,False
ㄅㄢㄅㄧㄠ,班彪,False
ㄅㄢㄅㄧㄢ,半邊,False
ㄅㄢㄅㄧㄣ,斑鬢/頒斌,False
ㄅㄢㄅㄧㄥ,班兵/搬兵,False
ㄅㄢㄆㄧㄠ,半票,False
ㄅㄢㄆㄧㄢ,半偏,False
ㄅㄢㄇㄣㄗ,半門子,False
ㄅㄢㄇㄧㄢ,版面/半面,False
ㄅㄢㄈㄟㄕ,斑飛虱,False
ㄅㄢㄈㄥㄦ,半瘋兒,False
ㄅㄢㄉㄠㄕ,班導師,False
ㄅㄢㄉㄠㄦ,半道兒,False
ㄅㄢㄉㄧㄝ,絆跌/斑蝶,False
ㄅㄢㄉㄧㄢ,半點/斑點,False
ㄅㄢㄉㄨㄣ,半蹲,False
ㄅㄢㄉㄨㄥ,搬動,False
ㄅㄢㄊㄧㄠ,般調/搬調,False
ㄅㄢㄊㄧㄢ,半天/阪田,False
ㄅㄢㄊㄨㄛ,辦妥,False
ㄅㄢㄊㄨㄥ,伴同,False
ㄅㄢㄋㄧㄤ,伴娘,False
ㄅㄢㄋㄨㄛ,搬挪,False
ㄅㄢㄋㄨㄥ,般弄/搬弄,False
ㄅㄢㄌㄧㄝ,班列,False
ㄅㄢㄌㄧㄡ,半綹,False
ㄅㄢㄌㄧㄤ,鈑梁,False
ㄅㄢㄌㄨㄣ,班輪,False
ㄅㄢㄍㄨㄕ,扮故事,False
ㄅㄢㄍㄨㄟ,半規,False
ㄅㄢㄍㄨㄥ,辦公/半弓,True
ㄅㄢㄍㄨㄦ,伴姑兒,False
ㄅㄢㄎㄨㄞ,板塊,False
ㄅㄢㄎㄨㄥ,半空,False
ㄅㄢㄏㄜㄦ,半合兒,False
ㄅㄢㄏㄢㄗ,半憨子,False
ㄅㄢㄏㄨㄚ,版畫/板畫,False
ㄅㄢㄏㄨㄛ,辦貨/伴夥,False
ㄅㄢㄏㄨㄟ,班會/半會,False
ㄅㄢㄏㄨㄢ,伴奐,False
ㄅㄢㄐㄧㄚ,搬家/半價,False
ㄅㄢㄐㄧㄝ,板結/半截,False
ㄅㄢㄐㄧㄠ,絆腳/絆跤,False
ㄅㄢㄐㄧㄡ,半舊/搬九,False
ㄅㄢㄐㄧㄢ,半鑑,False
ㄅㄢㄐㄧㄣ,板金/板巾,False
ㄅㄢㄐㄧㄤ,頒獎/板僵,False
ㄅㄢㄐㄧㄥ,半徑/班荊,False
ㄅㄢㄐㄩㄣ,班軍,False
ㄅㄢㄑㄧㄚ,半恰/半掐,False
ㄅㄢㄑㄧㄠ,板橋,False
ㄅㄢㄑㄧㄡ,板球/半球,False
ㄅㄢㄑㄧㄢ,搬遷,False
ㄅㄢㄑㄧㄤ,板強,False
ㄅㄢㄑㄧㄥ,搬請,False
ㄅㄢㄑㄩㄢ,版權/阪泉,True
ㄅㄢㄒㄧㄚ,半夏,False
ㄅㄢㄒㄧㄝ,半歇,False
ㄅㄢㄒㄧㄢ,半仙,False
ㄅㄢㄒㄧㄣ,辦心/版心,False
