,Characters,Answer,Score
ㄕㄨㄣㄧㄥ,順應/舜英,FALSE,1012213
ㄨㄥㄊㄧㄢ,甕天,FALSE,1011943
ㄅㄨㄒㄧㄥ,不幸/步行,FALSE,1011848
ㄒㄧㄓㄨㄥ,係踵,FALSE,1011316
ㄍㄨㄉㄧㄥ,固定/孤丁,FALSE,1011011
ㄙㄨㄥㄧㄢ,誦言/訟言,FALSE,1010485
ㄨㄢㄑㄧㄥ,萬頃,FALSE,1010443
ㄉㄧㄍㄨㄥ,地宮/底工,FALSE,1010167
ㄌㄨㄐㄧㄢ,路檢/路肩,FALSE,1010079
ㄊㄨㄐㄧㄥ,途徑/途經,FALSE,1009409
ㄏㄨㄐㄧㄥ,糊精,FALSE,1009274
ㄐㄧㄥㄉㄨ,京都/精讀,FALSE,1009126
ㄒㄧㄢㄨㄟ,纖維/鮮味,FALSE,1008831
ㄐㄧㄌㄨㄢ,雞卵,FALSE,1008782
ㄒㄧㄢㄍㄨ,先古/險固,FALSE,1008344
ㄌㄨㄥㄧㄣ,龍吟,FALSE,1008082
ㄓㄨㄒㄧㄢ,住閒/主線,FALSE,1007791
ㄐㄧㄊㄨㄥ,繼統/激筒,FALSE,1007785
ㄨㄣㄐㄧㄢ,文件/穩健,FALSE,1007636
ㄌㄧㄥㄨㄣ,令聞,FALSE,1006674
ㄕㄨㄣㄧㄢ,順眼/順延,TRUE,1006499
ㄅㄨㄒㄧㄢ,不限/不嫌,FALSE,1006134
ㄐㄧㄥㄨㄟ,警衛/經緯,FALSE,1005519
ㄍㄨㄉㄧㄢ,古典/故典,TRUE,1005297
ㄐㄧㄥㄍㄨ,警鼓/脛骨,FALSE,1005032
ㄉㄧㄍㄨㄢ,滴管,FALSE,1004453
ㄉㄨㄥㄧㄤ,東洋,FALSE,1004033
ㄉㄨㄥㄧㄠ,動搖,TRUE,1003907
ㄊㄨㄐㄧㄢ,圖鑑,FALSE,1003695
ㄏㄨㄐㄧㄢ,忽見/互見,FALSE,1003560
ㄘㄨㄥㄧㄢ,從嚴,FALSE,1003169
ㄒㄧㄝㄨㄢ,褻玩,FALSE,1002954
ㄓㄨㄐㄧㄥ,竺經/主靜,FALSE,1002894
ㄐㄧㄢㄨㄛ,堅臥/肩窩,FALSE,1002675
ㄨㄢㄐㄧㄣ,萬金/晚近,FALSE,1002272
ㄐㄧㄢㄉㄨ,監督/建都,FALSE,1002234
ㄐㄧㄊㄨㄢ,集團/急湍,FALSE,1002071
ㄐㄧㄏㄨㄢ,疾患/羈宦,FALSE,1002022
ㄊㄨㄥㄧㄣ,痛飲/同寅,FALSE,1001698
ㄏㄨㄥㄧㄣ,洪音/轟飲,FALSE,1001563
ㄅㄨㄐㄧㄥ,不經/不競,FALSE,1001237
ㄐㄧㄓㄨㄥ,集中/幾眾,FALSE,1001112
ㄍㄨㄥㄧㄤ,供養/宮樣,FALSE,1000953
ㄍㄨㄥㄧㄠ,宮腰/弓腰,FALSE,1000827
ㄍㄨㄤㄧㄥ,光影,FALSE,1000399
ㄊㄧㄥㄨㄣ,聽聞,TRUE,1000290
ㄒㄧㄥㄕㄨ,行書/刑書,FALSE,999797
ㄐㄧㄢㄨㄟ,見危/兼味,FALSE,998627
ㄐㄧㄢㄍㄨ,堅固/兼顧,FALSE,998140
ㄓㄨㄐㄧㄢ,逐漸/主見,FALSE,997180
ㄉㄨㄢㄧㄤ,端陽,FALSE,997141
ㄉㄧㄠㄨㄢ,刁頑,FALSE,996647
ㄉㄨㄥㄧㄚ,東亞,FALSE,996301
ㄉㄧㄢㄨㄤ,電網,FALSE,995733
ㄧㄢㄊㄨㄥ,眼同/淹通,FALSE,995655
ㄧㄢㄏㄨㄥ,眼紅/殷紅,FALSE,995606
ㄅㄨㄐㄧㄢ,部件/不見,FALSE,995523
ㄊㄨㄣㄧㄢ,吞煙/吞嚥,FALSE,995336
ㄨㄤㄒㄧㄥ,忘形/望幸,FALSE,995305
ㄏㄨㄣㄧㄢ,婚宴/渾言,FALSE,995201
ㄓㄨㄥㄧㄣ,中音/中音,FALSE,995183
ㄈㄨㄒㄧㄥ,復興/服刑,TRUE,995048
ㄊㄨㄢㄧㄣ,團音,FALSE,994806
ㄒㄧㄥㄌㄨ,行路/行露,FALSE,994782
ㄍㄨㄤㄧㄢ,光豔/光燄,FALSE,994685
ㄑㄧㄥㄨㄣ,請問/晴雯,FALSE,994569
ㄍㄨㄢㄧㄤ,官樣,FALSE,994061
ㄍㄨㄢㄧㄠ,官窯,FALSE,993935
ㄊㄧㄢㄨㄣ,天文/天問,FALSE,993398
ㄔㄨㄒㄧㄥ,出行/雛形,FALSE,993372
ㄇㄨㄒㄧㄥ,木星/母性,FALSE,993324
ㄍㄨㄥㄧㄚ,宮鴉,FALSE,993221
ㄒㄧㄢㄕㄨ,嫻熟/賢淑,FALSE,992905
ㄍㄨㄚㄧㄥ,卦影,FALSE,992575
ㄍㄨㄥㄧㄡ,共有/工友,FALSE,992414
ㄅㄧㄥㄨㄣ,秉文,FALSE,992118
ㄧㄥㄏㄨㄢ,瀛寰,FALSE,991910
ㄒㄧㄔㄨㄥ,席寵,FALSE,991125
ㄐㄧㄥㄕㄨ,經書/經術,FALSE,989593
ㄨㄢㄇㄧㄥ,玩命,FALSE,989523
ㄉㄨㄢㄧㄚ,端雅,FALSE,989409
ㄈㄨㄒㄧㄢ,浮現/副線,FALSE,989334
ㄉㄨㄌㄧㄥ,杜陵,FALSE,989310
ㄧㄢㄓㄨㄥ,嚴重/言重,TRUE,988982
ㄌㄨㄉㄧㄥ,鹿頂/盝頂,FALSE,988570
ㄓㄨㄢㄧㄣ,轉印,FALSE,988291
ㄒㄧㄥㄊㄨ,星圖,FALSE,988241
ㄉㄨㄥㄒㄧ,東西/東西,TRUE,987925
ㄉㄧㄌㄨㄥ,地龍,FALSE,987902
ㄒㄧㄥㄏㄨ,行戶,FALSE,987898
ㄒㄧㄢㄌㄨ,顯露/線路,FALSE,987890
ㄑㄧㄢㄨㄣ,錢文/淺聞,FALSE,987677
ㄔㄨㄒㄧㄢ,出現/出線,FALSE,987658
ㄕㄨㄉㄧㄢ,書店/贖典,TRUE,987635
ㄌㄧㄉㄨㄥ,黎峒/立冬,FALSE,987162
ㄍㄨㄚㄧㄢ,寡言/掛眼,FALSE,986861
ㄍㄨㄢㄧㄚ,關押/管押,FALSE,986329
ㄍㄨㄌㄧㄥ,鼓令/孤另,FALSE,986230
ㄨㄣㄉㄧㄥ,穩定/問鼎,TRUE,986127
ㄒㄧㄔㄨㄢ,息喘,FALSE,985411
ㄅㄧㄢㄨㄣ,變文/變溫,FALSE,985226
ㄍㄨㄥㄒㄧ,恭喜/工細,TRUE,984845
ㄌㄧㄍㄨㄥ,理工/立功,FALSE,984646
ㄐㄧㄥㄌㄨ,徑路/精廬,FALSE,984578
ㄈㄨㄐㄧㄥ,副淨/負荊,FALSE,984437
ㄨㄢㄒㄧㄤ,萬象/萬箱,FALSE,983313
ㄨㄢㄒㄧㄠ,玩笑/頑笑,FALSE,983187
ㄗㄨㄒㄧㄥ,族姓,FALSE,982977
ㄌㄨㄉㄧㄢ,露點/露電,FALSE,982856
ㄔㄨㄐㄧㄥ,處境/出境,FALSE,982761
ㄕㄨㄤㄧㄥ,雙贏,FALSE,982737
ㄇㄨㄐㄧㄥ,目精/目鏡,FALSE,982713
ㄐㄧㄢㄕㄨ,建樹/減數,FALSE,982701
ㄨㄚㄒㄧㄢ,襪線,FALSE,982207
ㄊㄨㄉㄧㄥ,圖釘/禿頂,FALSE,982186
ㄏㄨㄉㄧㄥ,互定/曶鼎,FALSE,982051
ㄒㄧㄥㄓㄨ,行主/星主,FALSE,981873
ㄍㄨㄛㄧㄥ,過硬/果蠅,FALSE,981694
ㄌㄧㄉㄨㄢ,理短/立斷,FALSE,981448
ㄒㄧㄢㄊㄨ,險途,FALSE,981349
ㄉㄨㄢㄒㄧ,斷席/端溪,FALSE,981033
ㄒㄧㄢㄏㄨ,鹹湖,FALSE,981006
ㄉㄨㄟㄧㄥ,對應,FALSE,980631
ㄍㄨㄌㄧㄢ,顧臉/顧戀,FALSE,980516
ㄒㄧㄥㄅㄨ,刑部,FALSE,980228
ㄉㄨㄒㄧㄣ,篤信/堵心,FALSE,979843
ㄉㄨㄛㄧㄢ,多言,FALSE,979060
ㄉㄨㄥㄐㄧ,動機/冬季,TRUE,979010
ㄨㄤㄐㄧㄢ,望見/王建,TRUE,978980
ㄌㄧㄍㄨㄢ,理官/禮官,FALSE,978932
ㄉㄧㄥㄨㄟ,定位/訂位,TRUE,978925
ㄈㄨㄐㄧㄢ,伏見/膚見,FALSE,978723
ㄌㄨㄥㄧㄤ,龍陽/龍洋,FALSE,978512
ㄌㄨㄥㄧㄠ,隆窯,FALSE,978386
ㄊㄧㄍㄨㄥ,提供/替工,TRUE,978262
ㄐㄧㄥㄊㄨ,淨土,FALSE,978037
ㄍㄨㄢㄒㄧ,關係/關西,FALSE,977953
ㄐㄧㄥㄏㄨ,驚呼/鏡湖,FALSE,977694
ㄐㄧㄢㄌㄨ,餞路/檢錄,FALSE,977686
ㄒㄧㄖㄨㄥ,喜容/西戎,FALSE,977564
ㄍㄨㄟㄧㄥ,鬼影,FALSE,977551
ㄨㄚㄐㄧㄥ,蛙鏡,FALSE,977310
ㄗㄨㄒㄧㄢ,祖先,FALSE,977263
ㄌㄧㄥㄨㄤ,令望,FALSE,977104
ㄔㄨㄐㄧㄢ,出監/出尖,FALSE,977047
ㄇㄨㄐㄧㄢ,木簡/母艦,FALSE,976999
ㄐㄧㄢㄨㄞ,見外/劍外,FALSE,976091
ㄍㄨㄛㄧㄢ,過眼/過言,FALSE,975980
ㄎㄨㄒㄧㄥ,酷刑/苦行,FALSE,975932
ㄍㄨㄥㄐㄧ,攻擊/功績,FALSE,975930
ㄓㄨㄉㄧㄥ,注定/註定,FALSE,975671
ㄨㄢㄒㄧㄚ,晚霞,FALSE,975581
ㄉㄧㄏㄨㄢ,低鬟/抵換,FALSE,975428
ㄊㄧㄉㄨㄢ,體段,FALSE,975064
ㄑㄧㄉㄨㄥ,啟動/起動,FALSE,975057
ㄔㄨㄥㄧㄣ,重印/重陰,FALSE,975050
ㄒㄧㄢㄓㄨ,顯著/先主,TRUE,974981
ㄉㄨㄟㄧㄢ,對眼,FALSE,974917
ㄨㄢㄒㄧㄡ,挽袖,FALSE,974774
ㄔㄨㄣㄧㄥ,春鶯,FALSE,974402
ㄍㄨㄑㄧㄥ,固請/僱請,FALSE,974323
ㄒㄧㄎㄨㄥ,惜恐,FALSE,974300
ㄅㄨㄉㄧㄥ,不定/補丁,FALSE,974014
ㄖㄨㄒㄧㄢ,乳腺,FALSE,973730
ㄇㄧㄥㄨㄣ,明文/銘文,FALSE,973594
ㄒㄧㄢㄅㄨ,閒步,FALSE,973336
ㄊㄧㄍㄨㄢ,提罐/提灌,FALSE,972548
ㄑㄧㄍㄨㄥ,氣功/起工,FALSE,972541
ㄋㄨㄒㄧㄥ,奴性,FALSE,972357
ㄊㄨㄥㄧㄤ,同樣/痛癢,FALSE,972128
ㄉㄨㄢㄐㄧ,短計/短戟,FALSE,972118
ㄉㄧㄢㄨㄟ,阽危,FALSE,972033
ㄊㄨㄥㄧㄠ,童謠,FALSE,972002
ㄏㄨㄥㄧㄤ,弘揚/紅樣,FALSE,971993
ㄏㄨㄥㄧㄠ,紅藥,FALSE,971867
ㄒㄧㄖㄨㄢ,細軟,FALSE,971850
ㄍㄨㄟㄧㄢ,歸煙,FALSE,971837
ㄉㄨㄑㄧㄢ,賭錢/渡錢,FALSE,971689
ㄐㄧㄥㄓㄨ,競逐/敬祝,FALSE,971669
ㄉㄧㄢㄍㄨ,典故/墊股,FALSE,971546
ㄏㄨㄤㄧㄥ,黃鶯,FALSE,971439
ㄨㄟㄒㄧㄥ,衛星/微型,FALSE,971209
ㄐㄧㄗㄨㄥ,騎從,FALSE,971192
ㄐㄧㄢㄊㄨ,鹼土/奸徒,FALSE,971145
ㄒㄧㄋㄨㄥ,戲弄/嬉弄,FALSE,970809
ㄐㄧㄢㄏㄨ,監護/簡忽,FALSE,970802
ㄌㄨㄥㄧㄚ,龍牙/聾啞,FALSE,970780
ㄅㄧㄍㄨㄥ,逼供/筆供,FALSE,970090
ㄐㄧㄥㄅㄨ,經部/頸部,FALSE,970024
ㄍㄨㄥㄧㄝ,工業/公爺,TRUE,969835
ㄐㄧㄕㄥㄨ,寄生物,FALSE,969509
ㄌㄧㄥㄨㄚ,綾襪,FALSE,969372
ㄑㄧㄉㄨㄢ,氣短/淒斷,FALSE,969343
ㄉㄨㄐㄧㄣ,鍍金,FALSE,969232
ㄍㄨㄢㄐㄧ,關機/管記,FALSE,969038
ㄖㄨㄐㄧㄥ,入境/入靜,TRUE,968833
ㄉㄧㄓㄨㄢ,地磚,FALSE,968804
ㄧㄢㄔㄨㄥ,眼蟲,FALSE,968791
ㄍㄨㄑㄧㄢ,古錢/古槧,FALSE,968609
ㄒㄧㄎㄨㄢ,息款,FALSE,968586
ㄕㄨㄌㄧㄥ,樹齡,FALSE,968568
ㄒㄧㄢㄉㄥ,先登,FALSE,968401
ㄐㄧㄖㄨㄥ,即戎,FALSE,967360
ㄐㄧㄉㄨㄣ,幾頓/寄頓,FALSE,967195
ㄨㄕㄐㄧㄢ,五十肩,FALSE,966915
ㄅㄧㄉㄨㄢ,弊端/筆端,FALSE,966892
ㄑㄧㄍㄨㄢ,器官/氣管,FALSE,966827
ㄒㄧㄤㄨㄣ,詳文/象紋,FALSE,966787
ㄗㄨㄐㄧㄢ,組件/足見,TRUE,966652
ㄍㄨㄐㄧㄣ,古今/箍緊,TRUE,966152
ㄧㄣㄉㄨㄥ,引動,FALSE,966143
ㄏㄨㄤㄧㄢ,謊言,FALSE,965725
ㄓㄨㄥㄧㄤ,中央/終養,FALSE,965613
ㄨㄟㄒㄧㄢ,危險/緯線,FALSE,965495
ㄓㄨㄥㄧㄠ,重要/中藥,FALSE,965487
ㄒㄧㄥㄍㄢ,性感,TRUE,965485
ㄎㄨㄐㄧㄥ,苦境/枯井,FALSE,965321
ㄏㄨㄢㄧㄤ,還陽/豢養,FALSE,965101
ㄧㄥㄔㄨㄢ,潁川,FALSE,965095
ㄑㄧㄥㄨㄤ,情網/清望,FALSE,964999
ㄏㄨㄢㄧㄠ,換藥,FALSE,964975
ㄨㄢㄐㄧㄚ,玩家,TRUE,964970
ㄐㄧㄢㄓㄨ,建築/箭豬,TRUE,964777
ㄊㄧㄠㄨㄢ,跳丸,FALSE,964742
ㄉㄢㄒㄧㄥ,單行,FALSE,964447
ㄊㄨㄥㄧㄚ,通雅,FALSE,964396
ㄅㄧㄍㄨㄢ,閉關/鼻觀,FALSE,964376
ㄏㄨㄥㄧㄚ,紅牙,FALSE,964261
ㄨㄢㄐㄧㄡ,挽救,FALSE,964163
ㄐㄧㄎㄨㄥ,祭孔,FALSE,964096
ㄊㄧㄢㄨㄤ,天王/天網,FALSE,963828
ㄒㄧㄥㄈㄨ,幸福/行復,TRUE,963701
ㄧㄣㄍㄨㄥ,陰功/隱宮,FALSE,963627
ㄊㄨㄥㄧㄡ,通郵/桐油,FALSE,963589
ㄏㄨㄥㄧㄡ,紅油/鴻猷,FALSE,963454
ㄆㄨㄒㄧㄥ,暴行,FALSE,963352
ㄒㄧㄓㄥㄨ,係爭物,FALSE,963221
ㄐㄧㄢㄅㄨ,箭步/間捕,FALSE,963132
ㄖㄨㄐㄧㄢ,入監/入監,FALSE,963119
ㄉㄧㄥㄕㄨ,定數/頂數,FALSE,962999
ㄍㄨㄢㄧㄝ,官業,FALSE,962943
ㄕㄨㄌㄧㄢ,熟練,FALSE,962854
ㄨㄧㄐㄧㄢ,無意間,FALSE,962798
ㄅㄧㄥㄨㄤ,病亡/并網,FALSE,962548
ㄙㄨㄒㄧㄥ,素行/素性,FALSE,962439
ㄒㄧㄥㄔㄨ,行廚,FALSE,962022
ㄕㄨㄊㄧㄥ,樹梃/蜀艇,FALSE,961857
ㄒㄧㄥㄇㄨ,醒目/醒木,FALSE,961702
ㄌㄧㄡㄨㄢ,流丸,FALSE,961435
ㄍㄢㄒㄧㄥ,感性/感興,TRUE,961367
ㄖㄨㄥㄧㄣ,容隱,FALSE,961122
ㄒㄧㄙㄨㄥ,息訟/稀鬆,FALSE,960965
ㄉㄥㄒㄧㄢ,等閒/登仙,FALSE,960751
ㄐㄧㄋㄨㄥ,唧噥,FALSE,960605
ㄨㄟㄐㄧㄥ,味精/偽經,FALSE,960598
ㄎㄨㄐㄧㄢ,苦諫,FALSE,959607
ㄓㄨㄤㄧㄢ,莊嚴/裝演,FALSE,959345
ㄌㄨㄛㄧㄥ,落英/羅纓,FALSE,959253
ㄕㄨㄒㄧㄣ,書信/輸心,FALSE,959101
ㄑㄧㄠㄨㄢ,巧丸,FALSE,959021
ㄒㄧㄚㄨㄣ,下文/下問,TRUE,958963
ㄓㄨㄢㄧㄠ,磚窯,FALSE,958595
ㄐㄧㄎㄨㄢ,寄款,FALSE,958382
ㄕㄨㄛㄧㄢ,碩言/搠渰,FALSE,958318
ㄗㄨㄣㄧㄢ,尊嚴/尊顏,FALSE,958293
ㄐㄧㄢㄉㄥ,減等,FALSE,958197
ㄑㄧㄢㄨㄤ,前往/僉望,FALSE,958107
ㄧㄣㄍㄨㄢ,銀管/陰官,FALSE,957913
ㄏㄨㄚㄧㄢ,話眼/化驗,FALSE,957901
ㄓㄨㄥㄧㄚ,中亞,FALSE,957881
ㄆㄨㄒㄧㄢ,普賢/曝獻,FALSE,957638
ㄒㄧㄡㄨㄣ,修文,FALSE,957386
ㄧㄢㄕㄥㄨ,衍生物,FALSE,957379
ㄏㄨㄢㄧㄚ,換牙,FALSE,957369
ㄏㄨㄌㄧㄥ,胡伶/鶻鴒,FALSE,957270
ㄑㄧㄥㄨㄚ,青蛙,FALSE,957267
ㄈㄨㄉㄧㄥ,負鼎/覆鼎,FALSE,957214
ㄧㄥㄉㄨㄣ,英噸,FALSE,957083
ㄓㄨㄥㄧㄡ,中游/仲由,FALSE,957074
ㄒㄧㄢㄈㄨ,先父/先夫,FALSE,956809
ㄕㄨㄑㄧㄥ,抒情/攄情,FALSE,956661
ㄐㄧㄤㄨㄣ,降溫,FALSE,956583
ㄏㄨㄢㄧㄡ,環遊/宦遊,FALSE,956562
ㄐㄧㄣㄨㄤ,禁網,FALSE,956489
ㄉㄨㄇㄧㄥ,度命,FALSE,956483
ㄕㄨㄊㄧㄢ,暑天,FALSE,956143
ㄋㄨㄐㄧㄢ,弩箭,FALSE,956032
ㄊㄨㄥㄒㄧ,同喜/同席,FALSE,956020
ㄏㄨㄥㄒㄧ,鴻禧,FALSE,955885
ㄨㄓㄐㄧㄥ,無止境,FALSE,955785
ㄒㄧㄕㄨㄣ,吸吮,FALSE,955726
ㄔㄨㄉㄧㄥ,出定/出頂,FALSE,955538
ㄐㄧㄥㄍㄢ,竟敢/精幹,FALSE,955281
ㄒㄧㄙㄨㄢ,細算/細酸,FALSE,955251
ㄧㄢㄖㄨㄥ,岩溶/沇溶,FALSE,955230
ㄒㄧㄢㄔㄨ,顯出/現出,TRUE,955130
ㄧㄢㄉㄨㄣ,厭鈍,FALSE,955065
ㄨㄟㄐㄧㄢ,為間/未見,FALSE,954884
ㄒㄧㄢㄇㄨ,羨慕/先母,TRUE,954810
ㄌㄨㄒㄧㄣ,爐心,FALSE,954322
ㄕㄨㄟㄧㄢ,水煙/睡眼,FALSE,954175
ㄋㄨㄥㄧㄣ,濃蔭,FALSE,954035
ㄉㄢㄐㄧㄥ,丹經/單徑,FALSE,953836
ㄐㄧㄥㄈㄨ,驚服/精夫,FALSE,953497
ㄌㄨㄥㄐㄧ,隆極/龍集,FALSE,953489
ㄌㄧㄥㄨㄟ,靈位,FALSE,953404
ㄍㄨㄇㄧㄥ,沽名/顧命,FALSE,953403
ㄍㄨㄥㄉㄧ,公敵/公地,FALSE,953223
ㄌㄧㄥㄍㄨ,鈴鼓/陵谷,FALSE,952917
ㄊㄨㄛㄧㄥ,脫穎,FALSE,952869
ㄒㄧㄌㄨㄣ,戲論,FALSE,952618
ㄒㄧㄥㄩㄢ,行轅/星院,FALSE,952411
ㄨㄢㄒㄧㄝ,婉謝,FALSE,952195
ㄒㄩㄥㄧㄢ,凶焰/凶燄,FALSE,952165
ㄧㄢㄎㄨㄥ,眼孔,FALSE,951966
ㄙㄨㄐㄧㄥ,肅靜/素淨,FALSE,951828
ㄐㄧㄥㄔㄨ,荊楚,FALSE,951818
ㄨㄤㄉㄧㄢ,網點,FALSE,951757
ㄇㄧㄍㄨㄥ,迷宮/蜜供,FALSE,951566
ㄏㄨㄌㄧㄢ,瑚璉,FALSE,951556
ㄈㄨㄉㄧㄢ,浮點/負電,FALSE,951500
ㄐㄧㄥㄇㄨ,靜穆/景慕,FALSE,951498
ㄒㄧㄥㄗㄨ,星族/姓族,FALSE,951490
ㄕㄨㄢㄐㄧ,栓劑,FALSE,951376
ㄌㄨㄊㄧㄢ,露天/陸田,FALSE,951364
ㄉㄧㄥㄏㄨ,訂戶/鼎湖,FALSE,951100
ㄉㄧㄢㄌㄨ,電路/電爐,FALSE,951092
ㄒㄩㄢㄧㄥ,玄英,FALSE,950987
ㄕㄨㄑㄧㄢ,書籤/輸錢,FALSE,950947
ㄉㄨㄢㄧㄞ,斷崖,FALSE,950905
ㄓㄨㄌㄧㄥ,屬令/豬苓,FALSE,950890
ㄐㄧㄙㄨㄥ,記誦/偈頌,FALSE,950761
ㄍㄢㄐㄧㄥ,乾淨/乾井,FALSE,950756
ㄎㄨㄢㄧㄣ,款引,FALSE,950718
ㄊㄧㄥㄉㄨ,亭毒,FALSE,950627
ㄏㄨㄊㄧㄥ,戶庭,FALSE,950559
ㄑㄧㄢㄨㄚ,千瓦,FALSE,950375
ㄉㄨㄒㄧㄤ,獨享,FALSE,950273
ㄉㄨㄒㄧㄠ,毒梟,FALSE,950147
ㄌㄧㄢㄉㄨ,鍊度,FALSE,950119
ㄒㄧㄥㄕㄢ,行善,FALSE,950046
ㄕㄢㄉㄧㄨ,山地舞,FALSE,949908
ㄌㄧㄏㄨㄢ,罹患,FALSE,949907
ㄔㄨㄉㄧㄢ,觸電/出典,FALSE,949824
