,Number,After 1,2,After 2,3,After 3,4,After 4,5,After 5,6,After 6,7,After 7,8,After 8,9
blitz,3,577,linty,5,blitz,,,,,,,,,,,,
bloat,3,195,aloft,3,bloat,,,,,,,,,,,,
block,3,254,biont,6,block,,,,,,,,,,,,
bloke,4,62,clone,10,globe,1,bloke,,,,,,,,,,
blond,3,254,biont,1,blond,,,,,,,,,,,,
blood,4,254,biont,6,block,4,blood,,,,,,,,,,
bloom,5,254,biont,6,block,4,blood,1,bloom,,,,,,,,
blown,3,254,biont,1,blown,,,,,,,,,,,,
bluer,4,401,cider,67,luter,2,bluer,,,,,,,,,,
bluff,4,577,linty,13,clump,2,bluff,,,,,,,,,,
blunt,3,577,linty,1,blunt,,,,,,,,,,,,
blurb,4,46,chirl,4,blurt,1,blurb,,,,,,,,,,
blurt,3,46,chirl,4,blurt,,,,,,,,,,,,
blush,3,505,mushy,13,blush,,,,,,,,,,,,
board,2,7,board,,,,,,,,,,,,,,
boast,2,29,boast,,,,,,,,,,,,,,
bobby,4,369,gouty,97,dowly,41,bobby,,,,,,,,,,
boney,4,177,novel,27,money,5,boney,,,,,,,,,,
bongo,4,369,gouty,21,login,6,bongo,,,,,,,,,,
bonus,4,400,moist,215,focus,7,bonus,,,,,,,,,,
booby,5,369,gouty,97,dowly,41,bobby,1,booby,,,,,,,,
boost,4,400,moist,3,joust,2,boost,,,,,,,,,,
booth,4,369,gouty,11,month,3,booth,,,,,,,,,,
booty,4,369,gouty,18,lofty,15,booty,,,,,,,,,,
booze,3,128,bouge,13,booze,,,,,,,,,,,,
boozy,5,369,gouty,97,dowly,41,bobby,1,boozy,,,,,,,,
borax,3,54,moral,9,borax,,,,,,,,,,,,
borne,4,31,forge,11,borde,2,borne,,,,,,,,,,
bosom,3,400,moist,20,bosom,,,,,,,,,,,,
bossy,4,400,moist,13,bousy,2,bossy,,,,,,,,,,
botch,4,369,gouty,29,tonic,7,botch,,,,,,,,,,
bough,3,369,gouty,5,bough,,,,,,,,,,,,
boule,3,128,bouge,1,boule,,,,,,,,,,,,
bound,4,369,gouty,19,hound,6,bound,,,,,,,,,,
bowel,4,177,novel,11,towel,2,bowel,,,,,,,,,,
boxer,5,88,vower,43,joker,37,gomer,3,boxer,,,,,,,,
brace,3,39,grace,2,brace,,,,,,,,,,,,
braid,4,107,train,10,brail,1,braid,,,,,,,,,,
brain,3,107,train,3,brain,,,,,,,,,,,,
brake,4,39,grace,20,drake,1,brake,,,,,,,,,,
brand,4,107,train,14,drank,2,brand,,,,,,,,,,
brash,2,66,brash,,,,,,,,,,,,,,
brass,3,66,brash,2,brass,,,,,,,,,,,,
brave,5,39,grace,20,drake,14,brame,1,brave,,,,,,,,
bravo,2,6,bravo,,,,,,,,,,,,,,
brawl,4,107,train,32,crawl,3,brawl,,,,,,,,,,
brawn,3,107,train,3,brawn,,,,,,,,,,,,
bread,4,257,later,48,break,2,bread,,,,,,,,,,
break,3,257,later,48,break,,,,,,,,,,,,
breed,3,401,cider,30,breed,,,,,,,,,,,,
briar,4,251,rainy,9,triad,4,briar,,,,,,,,,,
bribe,5,127,price,18,brine,3,bride,1,bribe,,,,,,,,
brick,3,175,briny,5,brick,,,,,,,,,,,,
bride,4,127,price,18,brine,3,bride,,,,,,,,,,
brief,3,401,cider,3,brief,,,,,,,,,,,,
brine,3,127,price,18,brine,,,,,,,,,,,,
bring,3,175,briny,2,bring,,,,,,,,,,,,
brink,4,175,briny,2,bring,1,brink,,,,,,,,,,
briny,2,175,briny,,,,,,,,,,,,,,
brisk,3,178,brust,2,brisk,,,,,,,,,,,,
broad,3,79,manor,13,broad,,,,,,,,,,,,
broil,4,143,croon,28,proul,5,broil,,,,,,,,,,
broke,4,34,prove,19,drone,8,broke,,,,,,,,,,
brood,3,143,croon,16,brood,,,,,,,,,,,,
brook,4,143,croon,16,brood,3,brook,,,,,,,,,,
broom,5,143,croon,16,brood,3,brook,1,broom,,,,,,,,
broth,4,143,croon,28,proul,10,broth,,,,,,,,,,
brown,4,143,croon,7,grown,3,brown,,,,,,,,,,
brunt,3,175,briny,2,brunt,,,,,,,,,,,,
brush,3,178,brust,2,brush,,,,,,,,,,,,
brute,3,127,price,16,brute,,,,,,,,,,,,
buddy,4,577,linty,54,dumpy,6,buddy,,,,,,,,,,
budge,4,302,tuile,20,fudge,5,budge,,,,,,,,,,
buggy,4,577,linty,54,dumpy,18,buggy,,,,,,,,,,
bugle,3,302,tuile,4,bugle,,,,,,,,,,,,
build,4,577,linty,24,child,2,build,,,,,,,,,,
built,3,577,linty,12,built,,,,,,,,,,,,
bulge,3,302,tuile,4,bulge,,,,,,,,,,,,
bulky,4,577,linty,20,bully,2,bulky,,,,,,,,,,
bully,3,577,linty,20,bully,,,,,,,,,,,,
bunch,3,577,linty,7,bunch,,,,,,,,,,,,
bunny,4,577,linty,20,funky,12,bunny,,,,,,,,,,
burly,3,175,briny,1,burly,,,,,,,,,,,,
burnt,3,175,briny,1,burnt,,,,,,,,,,,,
burst,3,178,brust,1,burst,,,,,,,,,,,,
bused,3,640,guest,43,bused,,,,,,,,,,,,
bushy,3,505,mushy,7,bushy,,,,,,,,,,,,
butch,3,577,linty,12,butch,,,,,,,,,,,,
butte,3,302,tuile,2,butte,,,,,,,,,,,,
buxom,3,254,biont,4,buxom,,,,,,,,,,,,
buyer,4,401,cider,67,luter,6,buyer,,,,,,,,,,
bylaw,3,769,canty,10,bylaw,,,,,,,,,,,,
cabal,4,769,canty,13,cavil,2,cabal,,,,,,,,,,
cabby,3,769,canty,6,cabby,,,,,,,,,,,,
cabin,3,769,canty,3,cabin,,,,,,,,,,,,
cable,3,156,maile,15,cable,,,,,,,,,,,,
cacao,5,195,aloft,54,bacon,3,macho,1,cacao,,,,,,,,
cache,5,156,maile,40,gauge,23,bathe,1,cache,,,,,,,,
cacti,3,769,canty,1,cacti,,,,,,,,,,,,
caddy,4,769,canty,6,cabby,5,caddy,,,,,,,,,,
cadet,3,349,clean,10,cadet,,,,,,,,,,,,
cagey,4,349,clean,10,cadet,3,cagey,,,,,,,,,,
cairn,3,74,hairy,8,cairn,,,,,,,,,,,,
camel,3,349,clean,3,camel,,,,,,,,,,,,
cameo,3,13,oaken,1,cameo,,,,,,,,,,,,
canal,3,769,canty,3,canal,,,,,,,,,,,,
candy,3,769,canty,2,candy,,,,,,,,,,,,
canny,4,769,canty,2,candy,1,canny,,,,,,,,,,
canoe,3,23,abode,3,canoe,,,,,,,,,,,,
canon,4,195,aloft,54,bacon,4,canon,,,,,,,,,,
caper,4,257,later,59,gaper,5,caper,,,,,,,,,,
caput,3,769,canty,2,caput,,,,,,,,,,,,
carat,4,251,rainy,36,karma,5,carat,,,,,,,,,,
cargo,4,79,manor,13,radio,8,cargo,,,,,,,,,,
carol,3,79,manor,9,carol,,,,,,,,,,,,
carry,3,74,hairy,6,carry,,,,,,,,,,,,
carve,3,56,barge,13,carve,,,,,,,,,,,,
caste,4,36,paste,5,baste,4,caste,,,,,,,,,,
catch,4,769,canty,2,caput,1,catch,,,,,,,,,,
cater,3,257,later,10,cater,,,,,,,,,,,,
catty,3,769,canty,1,catty,,,,,,,,,,,,
caulk,4,769,canty,13,cavil,4,caulk,,,,,,,,,,
cause,3,36,paste,10,cause,,,,,,,,,,,,
cavil,3,769,canty,13,cavil,,,,,,,,,,,,
cease,3,15,chase,1,cease,,,,,,,,,,,,
cedar,4,257,later,18,debar,1,cedar,,,,,,,,,,
cello,3,123,melon,5,cello,,,,,,,,,,,,
chafe,5,72,plage,28,knave,12,abate,1,chafe,,,,,,,,
chaff,4,168,clank,5,champ,3,chaff,,,,,,,,,,
chain,3,168,clank,1,chain,,,,,,,,,,,,
chair,3,107,train,4,chair,,,,,,,,,,,,
chalk,3,168,clank,1,chalk,,,,,,,,,,,,
champ,3,168,clank,5,champ,,,,,,,,,,,,
chant,3,168,clank,3,chant,,,,,,,,,,,,
chaos,2,11,chaos,,,,,,,,,,,,,,
chard,2,43,chard,,,,,,,,,,,,,,
charm,3,43,chard,6,charm,,,,,,,,,,,,
chart,4,43,chard,6,charm,5,chart,,,,,,,,,,
chase,2,15,chase,,,,,,,,,,,,,,
chasm,3,149,clash,1,chasm,,,,,,,,,,,,
cheap,3,349,clean,2,cheap,,,,,,,,,,,,
cheat,4,349,clean,2,cheap,1,cheat,,,,,,,,,,
check,4,608,inlet,40,beefy,1,check,,,,,,,,,,
cheek,3,608,inlet,61,cheek,,,,,,,,,,,,
cheer,4,401,cider,6,cyber,3,cheer,,,,,,,,,,
chess,4,640,guest,5,flesh,1,chess,,,,,,,,,,
chest,3,640,guest,5,chest,,,,,,,,,,,,
chick,4,577,linty,27,quich,1,chick,,,,,,,,,,
chide,4,302,tuile,18,chine,3,chide,,,,,,,,,,
chief,4,608,inlet,40,bicep,1,chief,,,,,,,,,,
child,3,577,linty,24,child,,,,,,,,,,,,
chili,4,577,linty,24,child,2,chili,,,,,,,,,,
chill,5,577,linty,24,child,2,chili,1,chill,,,,,,,,
chime,5,302,tuile,18,chine,3,chide,1,chime,,,,,,,,
china,3,769,canty,2,china,,,,,,,,,,,,
chirp,3,46,chirl,6,chirp,,,,,,,,,,,,
chock,4,254,biont,36,flock,1,chock,,,,,,,,,,
choir,3,143,croon,2,choir,,,,,,,,,,,,
choke,3,62,clone,2,choke,,,,,,,,,,,,
chord,2,28,chord,,,,,,,,,,,,,,
chore,2,11,chore,,,,,,,,,,,,,,
chose,2,5,chose,,,,,,,,,,,,,,
chuck,4,577,linty,11,chump,2,chuck,,,,,,,,,,
chump,3,577,linty,11,chump,,,,,,,,,,,,
chunk,3,577,linty,4,chunk,,,,,,,,,,,,
churn,3,46,chirl,2,churn,,,,,,,,,,,,
chute,3,302,tuile,2,chute,,,,,,,,,,,,
cider,2,401,cider,,,,,,,,,,,,,,
cigar,4,251,rainy,33,vicar,2,cigar,,,,,,,,,,
cinch,6,577,linty,12,finch,4,pinch,2,winch,1,cinch,,,,,,
circa,4,251,rainy,33,vicar,1,circa,,,,,,,,,,
civic,3,577,linty,9,civic,,,,,,,,,,,,
civil,3,577,linty,19,civil,,,,,,,,,,,,
clack,3,168,clank,1,clack,,,,,,,,,,,,
claim,3,168,clank,6,claim,,,,,,,,,,,,
clamp,4,168,clank,6,claim,1,clamp,,,,,,,,,,
clang,3,168,clank,1,clang,,,,,,,,,,,,
clank,2,168,clank,,,,,,,,,,,,,,
clash,2,149,clash,,,,,,,,,,,,,,
clasp,3,149,clash,3,clasp,,,,,,,,,,,,
class,4,149,clash,3,clasp,2,class,,,,,,,,,,
clean,2,349,clean,,,,,,,,,,,,,,
clear,3,257,later,4,clear,,,,,,,,,,,,
cleat,3,349,clean,1,cleat,,,,,,,,,,,,
cleft,3,608,inlet,6,cleft,,,,,,,,,,,,
clerk,3,44,leery,2,clerk,,,,,,,,,,,,
click,5,577,linty,24,child,3,climb,2,click,,,,,,,,
cliff,6,577,linty,24,child,3,climb,2,click,1,cliff,,,,,,
climb,4,577,linty,24,child,3,climb,,,,,,,,,,
cling,4,577,linty,11,bling,3,cling,,,,,,,,,,
clink,4,577,linty,11,bling,2,clink,,,,,,,,,,
cloak,3,195,aloft,3,cloak,,,,,,,,,,,,
clock,4,254,biont,36,flock,1,clock,,,,,,,,,,
clone,2,62,clone,,,,,,,,,,,,,,
close,3,5,chose,1,close,,,,,,,,,,,,
cloth,3,254,biont,6,cloth,,,,,,,,,,,,
cloud,4,254,biont,36,flock,3,cloud,,,,,,,,,,
clout,3,254,biont,9,clout,,,,,,,,,,,,
clove,3,62,clone,5,clove,,,,,,,,,,,,
clown,4,254,biont,6,known,2,clown,,,,,,,,,,
cluck,4,577,linty,13,clump,1,cluck,,,,,,,,,,
clued,4,608,inlet,39,bevel,8,clued,,,,,,,,,,
clump,3,577,linty,13,clump,,,,,,,,,,,,
clung,4,577,linty,6,flung,1,clung,,,,,,,,,,
coach,3,19,loamy,7,coach,,,,,,,,,,,,
coast,3,29,boast,4,coast,,,,,,,,,,,,
cobra,2,10,cobra,,,,,,,,,,,,,,
cocoa,4,132,tonal,23,comma,3,cocoa,,,,,,,,,,
colon,4,369,gouty,69,conic,2,colon,,,,,,,,,,
color,4,80,north,11,rocky,1,color,,,,,,,,,,
comet,4,177,novel,87,motey,1,comet,,,,,,,,,,
comfy,5,369,gouty,97,dowly,41,bobby,2,comfy,,,,,,,,
comic,4,369,gouty,69,conic,2,comic,,,,,,,,,,
comma,3,132,tonal,23,comma,,,,,,,,,,,,
conch,4,369,gouty,69,conic,1,conch,,,,,,,,,,
condo,4,369,gouty,69,conic,2,condo,,,,,,,,,,
conic,3,369,gouty,69,conic,,,,,,,,,,,,
copse,4,30,louse,17,poise,1,copse,,,,,,,,,,
coral,3,54,moral,7,coral,,,,,,,,,,,,
corer,7,88,vower,43,joker,37,gomer,3,boxer,2,foyer,1,corer,,,,
corny,3,80,north,10,corny,,,,,,,,,,,,
couch,6,369,gouty,19,hound,4,pouch,2,vouch,1,couch,,,,,,
cough,4,369,gouty,5,bough,4,cough,,,,,,,,,,
could,4,369,gouty,19,hound,3,could,,,,,,,,,,
count,4,369,gouty,9,mount,2,count,,,,,,,,,,
coupe,3,128,bouge,12,coupe,,,,,,,,,,,,
court,4,29,loury,9,courd,2,court,,,,,,,,,,
coven,3,177,novel,4,coven,,,,,,,,,,,,
cover,3,88,vower,6,cover,,,,,,,,,,,,
covet,3,177,novel,6,covet,,,,,,,,,,,,
covey,4,177,novel,6,covet,2,covey,,,,,,,,,,
cower,3,88,vower,8,cower,,,,,,,,,,,,
coyly,5,369,gouty,97,dowly,14,colly,1,coyly,,,,,,,,
crack,6,107,train,32,crawl,4,cramp,2,crazy,1,crack,,,,,,
craft,3,107,train,12,craft,,,,,,,,,,,,
cramp,4,107,train,32,crawl,4,cramp,,,,,,,,,,
crane,3,39,grace,7,crane,,,,,,,,,,,,
crank,4,107,train,14,drank,4,crank,,,,,,,,,,
crash,3,66,brash,2,crash,,,,,,,,,,,,
crass,4,66,brash,6,grasp,4,crass,,,,,,,,,,
crate,4,39,grace,7,crane,6,crate,,,,,,,,,,
crave,5,39,grace,7,crane,6,crate,2,crave,,,,,,,,
crawl,3,107,train,32,crawl,,,,,,,,,,,,
craze,6,39,grace,7,crane,6,crate,2,crave,1,craze,,,,,,
crazy,5,107,train,32,crawl,4,cramp,2,crazy,,,,,,,,
creak,4,257,later,48,break,3,creak,,,,,,,,,,
cream,5,257,later,48,break,4,dream,1,cream,,,,,,,,
credo,3,64,order,2,credo,,,,,,,,,,,,
creed,3,401,cider,3,creed,,,,,,,,,,,,
creek,3,401,cider,6,creek,,,,,,,,,,,,
creep,4,401,cider,6,creek,2,creep,,,,,,,,,,
