Word,Answer,Score,Occurrence,Green,Yellow,Weighted Sum
least,TRUE,6447997,3898,1061,2837,2479.5
cater,TRUE,6442596,3917,1143,2774,2530
earls,FALSE,6437920,4068,737,3331,2402.5
urase,FALSE,6437897,3877,1202,2675,2539.5
store,TRUE,6434044,3851,1263,2588,2557
nares,FALSE,6432539,3970,858,3112,2414
soler,FALSE,6429992,3832,1287,2545,2559.5
slier,FALSE,6425357,3806,1363,2443,2584.5
renal,TRUE,6424937,4000,805,3195,2402.5
sorel,FALSE,6424074,3832,1282,2550,2557
oriel,FALSE,6421952,3861,1048,2813,2454.5
neral,FALSE,6419791,4000,761,3239,2380.5
tiler,FALSE,6419506,3855,993,2862,2424
saine,FALSE,6418692,3780,1542,2238,2661
carse,FALSE,6417493,3868,1260,2608,2564
tales,FALSE,6412506,3898,919,2979,2408.5
reans,FALSE,6410730,3970,872,3098,2421
trone,FALSE,6410614,3783,1266,2517,2524.5
slane,FALSE,6409107,3781,1480,2301,2630.5
stire,FALSE,6404844,3825,1285,2540,2555
aisle,TRUE,6403634,3878,1009,2869,2443.5
alone,TRUE,6401345,3836,1192,2644,2514
aloes,FALSE,6400033,3904,940,2964,2422
litre,FALSE,6398192,3855,977,2878,2416
liane,FALSE,6396648,3810,1203,2607,2506.5
scare,TRUE,6395260,3868,1289,2579,2578.5
teals,FALSE,6394404,3898,896,3002,2397
liter,FALSE,6393288,3855,931,2924,2393
alure,FALSE,6392369,3907,1083,2824,2495
nears,FALSE,6389995,3970,774,3196,2372
roset,FALSE,6388870,3851,1035,2816,2443
react,TRUE,6388672,3917,1059,2858,2488
setal,FALSE,6385022,3898,1038,2860,2468
siler,FALSE,6384086,3806,1210,2596,2508
stane,FALSE,6383690,3800,1356,2444,2578
lacer,FALSE,6383612,3898,978,2920,2438
trine,FALSE,6381414,3757,1288,2469,2522.5
tries,FALSE,6380102,3825,1036,2789,2430.5
atone,TRUE,6375928,3855,1068,2787,2461.5
oiler,FALSE,6374086,3861,885,2976,2373
crane,TRUE,6373258,3800,1378,2422,2589
tores,FALSE,6372224,3851,945,2906,2398
aline,FALSE,6372145,3810,1214,2596,2512
loser,TRUE,6370048,3832,977,2855,2404.5
trade,TRUE,6366433,3839,1216,2623,2527.5
uraei,FALSE,6365622,3906,936,2970,2421
reoil,FALSE,6363606,3861,905,2956,2383
anole,FALSE,6363535,3836,1058,2778,2447
leats,FALSE,6361162,3898,812,3086,2355
leant,TRUE,6360540,3830,1072,2758,2451
toner,FALSE,6353043,3783,1097,2686,2440
taels,FALSE,6352105,3898,828,3070,2363
reist,FALSE,6350121,3825,1037,2788,2431
toeas,FALSE,6345827,3923,804,3119,2363.5
oaten,FALSE,6343422,3855,904,2951,2379.5
trail,TRUE,6341968,3708,1037,2671,2372.5
laten,FALSE,6341940,3830,951,2879,2390.5
ursae,FALSE,6341284,3877,967,2910,2422
relit,FALSE,6341102,3855,870,2985,2362.5
sayer,FALSE,6339444,3837,1229,2608,2533
scrae,FALSE,6337786,3868,1156,2712,2512
ariot,FALSE,6336596,3733,1059,2674,2396
rayle,FALSE,6335058,3867,1024,2843,2445.5
anile,FALSE,6334335,3810,1080,2730,2445
irone,FALSE,6334254,3763,1151,2612,2457
coate,FALSE,6333856,3753,1347,2406,2550
prate,FALSE,6332466,3815,1279,2536,2547
telia,FALSE,6331730,3927,725,3202,2326
cares,FALSE,6328724,3868,1019,2849,2443.5
toile,FALSE,6328352,3691,1280,2411,2485.5
layer,TRUE,6327962,3867,951,2916,2409
steal,TRUE,6327331,3898,939,2959,2418.5
ronte,FALSE,6326897,3783,1086,2697,2434.5
alien,TRUE,6326485,3810,1056,2754,2433
tires,FALSE,6326318,3825,868,2957,2346.5
lores,FALSE,6325322,3832,884,2948,2358
rotes,FALSE,6323756,3851,849,3002,2350
trape,FALSE,6322088,3815,1197,2618,2506
roast,TRUE,6320947,3704,1115,2589,2409.5
slart,FALSE,6319073,3679,1279,2400,2479
teary,TRUE,6317722,3886,1214,2672,2550
earns,FALSE,6316698,3970,757,3213,2363.5
hater,TRUE,6311814,3848,1014,2834,2431
clear,TRUE,6310304,3898,951,2947,2424.5
share,TRUE,6310108,3799,1393,2406,2596
caner,FALSE,6309543,3800,1171,2629,2485.5
liart,FALSE,6306614,3708,1002,2706,2355
loner,FALSE,6306141,3764,1036,2728,2400
dater,FALSE,6305079,3839,1056,2783,2447.5
osier,FALSE,6303672,3831,853,2978,2342
roles,FALSE,6303072,3832,850,2982,2341
trial,TRUE,6302836,3708,1001,2707,2354.5
tolar,FALSE,6300876,3734,915,2819,2324.5
anise,FALSE,6300570,3780,1089,2691,2434.5
snore,TRUE,6300429,3734,1273,2461,2503.5
noter,FALSE,6299429,3783,957,2826,2370
tared,FALSE,6298894,3839,1052,2787,2445.5
toise,FALSE,6294587,3661,1289,2372,2475
orles,FALSE,6294388,3832,774,3058,2303
ureal,FALSE,6294081,3907,796,3111,2351.5
resit,FALSE,6292640,3825,838,2987,2331.5
paire,FALSE,6291436,3795,1288,2507,2541.5
haler,FALSE,6291130,3829,1015,2814,2422
irade,FALSE,6290073,3819,1101,2718,2460
heart,TRUE,6289658,3848,1023,2825,2435.5
thrae,FALSE,6288054,3848,1043,2805,2445.5
ayrie,FALSE,6287748,3866,909,2957,2387.5
tesla,FALSE,6285758,3898,697,3201,2297.5
prase,FALSE,6285041,3766,1311,2455,2538.5
aurei,FALSE,6283182,3906,819,3087,2362.5
rance,FALSE,6282679,3800,1124,2676,2462
rathe,FALSE,6277896,3848,972,2876,2410
rites,FALSE,6277850,3825,772,3053,2298.5
tenor,TRUE,6276833,3783,874,2909,2328.5
parle,FALSE,6275584,3796,1195,2601,2495.5
stair,TRUE,6274536,3678,1120,2558,2399
leary,FALSE,6270820,3867,1153,2714,2510
saute,TRUE,6270318,3707,1398,2309,2552.5
taper,TRUE,6270124,3815,1041,2774,2428
tinea,FALSE,6269685,3829,872,2957,2350.5
porae,FALSE,6269306,3821,1171,2650,2496
races,FALSE,6268174,3868,819,3049,2343.5
lader,FALSE,6267019,3820,997,2823,2408.5
pater,FALSE,6266922,3815,1087,2728,2451
aures,FALSE,6266688,3877,844,3033,2360.5
areic,FALSE,6266506,3897,774,3123,2335.5
solar,TRUE,6265456,3685,1132,2553,2408.5
deair,FALSE,6263803,3819,1030,2789,2424.5
sared,FALSE,6263474,3790,1269,2521,2529.5
serac,FALSE,6263413,3868,965,2903,2416.5
saice,FALSE,6262374,3678,1512,2166,2595
stela,FALSE,6261793,3898,846,3052,2372
adore,TRUE,6261412,3845,981,2864,2413
liner,TRUE,6260235,3738,959,2779,2348.5
soral,FALSE,6259538,3685,1127,2558,2406
nitre,FALSE,6258427,3757,926,2831,2341.5
riles,FALSE,6257166,3806,773,3033,2289.5
recal,FALSE,6255426,3898,722,3176,2310
niter,FALSE,6253523,3757,880,2877,2318.5
oared,FALSE,6253474,3845,944,2901,2394.5
lanes,FALSE,6253235,3781,885,2896,2333
stole,TRUE,6251786,3662,1273,2389,2467.5
rated,FALSE,6250426,3839,956,2883,2397.5
nacre,FALSE,6248751,3800,973,2827,2386.5
grate,TRUE,6247999,3769,1252,2517,2510.5
ceria,FALSE,6247948,3897,825,3072,2361
leirs,FALSE,6247434,3806,784,3022,2295
siren,TRUE,6246550,3708,1179,2529,2443.5
nates,FALSE,6246523,3800,806,2994,2303
rotal,FALSE,6246490,3734,814,2920,2274
paler,TRUE,6246238,3796,1088,2708,2442
resto,FALSE,6245568,3851,624,3227,2237.5
peart,FALSE,6244766,3815,1096,2719,2455.5
arsey,FALSE,6242350,3837,1170,2667,2503.5
parse,TRUE,6241819,3766,1204,2562,2485
tiers,FALSE,6241475,3825,716,3109,2270.5
senor,FALSE,6241413,3734,1091,2643,2412.5
spare,TRUE,6241183,3766,1310,2456,2538
sitar,FALSE,6240234,3678,1054,2624,2366
spaer,FALSE,6236279,3766,1264,2502,2515
ratio,TRUE,6234046,3733,736,2997,2234.5
rinse,TRUE,6233566,3708,1041,2667,2374.5
alder,FALSE,6231954,3820,947,2873,2383.5
taros,FALSE,6231496,3704,784,2920,2244
aider,TRUE,6230977,3819,948,2871,2383.5
noser,FALSE,6230283,3734,926,2808,2330
aeons,FALSE,6230000,3806,845,2961,2325.5
arled,FALSE,6229440,3820,956,2864,2388
ocrea,FALSE,6226984,3923,626,3297,2274.5
leans,FALSE,6226280,3781,855,2926,2318
derat,FALSE,6225449,3839,932,2907,2385.5
trice,TRUE,6225096,3655,1258,2397,2456.5
orant,FALSE,6224806,3636,1050,2586,2343
pareo,FALSE,6224088,3821,985,2836,2403
stile,FALSE,6222586,3636,1295,2341,2465.5
neats,FALSE,6221397,3800,761,3039,2280.5
salue,FALSE,6220528,3688,1288,2400,2488
acres,FALSE,6219912,3868,698,3170,2283
tenia,FALSE,6219361,3829,752,3077,2290.5
tiars,FALSE,6219256,3678,846,2832,2262
lacet,FALSE,6217984,3728,1019,2709,2373.5
seron,FALSE,6216246,3734,1033,2701,2383.5
aired,FALSE,6215950,3819,942,2877,2380.5
elain,FALSE,6215091,3810,868,2942,2339
rayne,FALSE,6213836,3769,1044,2725,2406.5
scale,TRUE,6213002,3679,1299,2380,2489
orals,FALSE,6211768,3685,813,2872,2249
train,TRUE,6210350,3610,1011,2599,2310.5
caste,TRUE,6209756,3698,1145,2553,2421.5
neals,FALSE,6207737,3781,784,2997,2282.5
toras,FALSE,6207688,3704,790,2914,2247
sorta,FALSE,6207660,3704,1011,2693,2357.5
ureas,FALSE,6206811,3877,676,3201,2276.5
inter,TRUE,6205775,3757,762,2995,2259.5
targe,FALSE,6204316,3769,1116,2653,2442.5
recta,FALSE,6203548,3917,606,3311,2261.5
urite,FALSE,6202996,3664,1129,2535,2396.5
maire,FALSE,6202697,3747,1253,2494,2500
tread,TRUE,6199799,3839,874,2965,2356.5
raits,FALSE,6198768,3678,850,2828,2264
hares,FALSE,6197942,3799,890,2909,2344.5
pearl,TRUE,6197776,3796,999,2797,2397.5
glare,TRUE,6197384,3750,1199,2551,2474.5
riels,FALSE,6196765,3806,682,3124,2244
tarsi,FALSE,6196695,3678,798,2880,2238
nerol,FALSE,6196617,3764,730,3034,2247
route,TRUE,6196304,3690,1112,2578,2401
serin,FALSE,6196226,3708,1059,2649,2383.5
stean,FALSE,6195713,3800,913,2887,2356.5
liers,FALSE,6194573,3806,655,3151,2230.5
years,FALSE,6194196,3837,743,3094,2290
aiery,FALSE,6192479,3866,1036,2830,2451
antes,FALSE,6192191,3800,693,3107,2246.5
dares,FALSE,6191207,3790,932,2858,2361
relay,TRUE,6191096,3867,986,2881,2426.5
eorls,FALSE,6190938,3832,712,3120,2272
rones,FALSE,6190703,3734,877,2857,2305.5
tamer,TRUE,6187669,3767,1044,2723,2405.5
riant,FALSE,6187584,3610,1049,2561,2329.5
marle,FALSE,6186845,3748,1160,2588,2454
rails,FALSE,6185108,3659,873,2786,2266
arils,FALSE,6184806,3659,872,2787,2265.5
erica,FALSE,6183712,3897,821,3076,2359
isnae,FALSE,6183419,3780,776,3004,2278
haole,FALSE,6183270,3665,1203,2462,2434
ratos,FALSE,6183028,3704,688,3016,2196
lairs,FALSE,6182916,3659,846,2813,2252.5
roule,FALSE,6182644,3671,1135,2536,2403
gater,FALSE,6182455,3769,1060,2709,2414.5
rased,FALSE,6181280,3790,925,2865,2357.5
arsed,FALSE,6180978,3790,924,2866,2357
morae,FALSE,6180567,3773,1136,2637,2454.5
loure,FALSE,6180452,3671,1108,2563,2389.5
larnt,FALSE,6180102,3611,990,2621,2300.5
apter,FALSE,6179707,3815,843,2972,2329
early,TRUE,6178980,3867,1065,2802,2466
crise,FALSE,6178389,3606,1326,2280,2466
mater,FALSE,6178183,3767,1052,2715,2409.5
rials,FALSE,6174546,3659,812,2847,2235.5
liars,FALSE,6172354,3659,785,2874,2222
corse,FALSE,6170511,3632,1235,2397,2433.5
sarge,FALSE,6168896,3720,1333,2387,2526.5
ayres,FALSE,6167704,3837,681,3156,2259
petar,FALSE,6166904,3815,870,2945,2342.5
toles,FALSE,6165524,3662,894,2768,2278
laris,FALSE,6164574,3659,749,2910,2204
risen,TRUE,6164356,3708,835,2873,2271.5
toran,FALSE,6163340,3636,884,2752,2260
thale,FALSE,6163270,3659,1186,2473,2422.5
shear,TRUE,6162887,3799,1062,2737,2430.5
artis,FALSE,6162706,3678,713,2965,2195.5
ramet,FALSE,6159589,3767,1041,2726,2404
armet,FALSE,6159287,3767,1040,2727,2403.5
rotas,FALSE,6159220,3704,694,3010,2199
large,TRUE,6157414,3750,1055,2695,2402.5
terns,FALSE,6157262,3728,772,2956,2250
sager,FALSE,6156837,3720,1267,2453,2493.5
hears,FALSE,6155398,3799,806,2993,2302.5
oread,FALSE,6154379,3845,766,3079,2305.5
sonar,TRUE,6153087,3587,1159,2428,2373
marse,FALSE,6153080,3718,1169,2549,2443.5
pares,FALSE,6153050,3766,963,2803,2364.5
claes,FALSE,6152733,3679,1060,2619,2369.5
argle,FALSE,6152149,3750,1061,2689,2405.5
yearn,TRUE,6149848,3769,837,2932,2303
canoe,TRUE,6149719,3636,1197,2439,2416.5
citer,FALSE,6149708,3655,1041,2614,2348
earth,TRUE,6148986,3848,817,3031,2332.5
rouse,TRUE,6148879,3641,1144,2497,2392.5
dears,FALSE,6148663,3790,848,2942,2319
solei,FALSE,6146598,3642,1086,2556,2364
ramie,FALSE,6145373,3747,1052,2695,2399.5
lager,TRUE,6145355,3750,989,2761,2369.5
trona,FALSE,6145276,3636,906,2730,2271
rines,FALSE,6144797,3708,800,2908,2254
airts,FALSE,6144682,3678,681,2997,2179.5
cleat,TRUE,6144676,3728,992,2736,2360
cates,FALSE,6142708,3698,967,2731,2332.5
resay,FALSE,6142634,3837,954,2883,2395.5
score,TRUE,6142134,3632,1226,2406,2429
inert,TRUE,6141320,3757,703,3054,2230
lamer,FALSE,6140767,3748,983,2765,2365.5
elans,FALSE,6140707,3781,798,2983,2289.5
lotes,FALSE,6139306,3662,832,2830,2247
stern,TRUE,6137267,3728,902,2826,2315
loast,FALSE,6136497,3515,1098,2417,2306.5
trans,FALSE,6135966,3581,941,2640,2261
acers,FALSE,6135069,3868,546,3322,2207
blare,TRUE,6134687,3717,1257,2460,2487
sarin,FALSE,6131708,3561,1121,2440,2341
astir,FALSE,6131696,3678,638,3040,2158
ourie,FALSE,6131368,3670,972,2698,2321
taber,FALSE,6130932,3736,1040,2696,2388
taces,FALSE,6130626,3698,863,2835,2280.5
stone,TRUE,6130564,3564,1293,2271,2428.5
crena,FALSE,6130139,3800,888,2912,2344
outre,FALSE,6130100,3690,914,2776,2302
blaer,FALSE,6129783,3717,1211,2506,2464
reins,FALSE,6128404,3708,831,2877,2269.5
toyer,FALSE,6127882,3650,987,2663,2318.5
shale,TRUE,6127850,3610,1403,2207,2506.5
outer,TRUE,6125196,3690,868,2822,2279
luter,FALSE,6123714,3665,915,2750,2290
sture,FALSE,6121588,3635,1184,2451,2409.5
stria,FALSE,6121164,3678,828,2850,2253
ceorl,FALSE,6120324,3662,992,2670,2327
crone,TRUE,6120132,3564,1315,2249,2439.5
tiles,FALSE,6119618,3636,817,2819,2226.5
loran,FALSE,6116438,3617,823,2794,2220
lyase,FALSE,6115547,3648,1013,2635,2330.5
apert,FALSE,6115252,3815,784,3031,2299.5
starn,FALSE,6115048,3581,1032,2549,2306.5
liras,FALSE,6114880,3659,652,3007,2155.5
rotan,FALSE,6114872,3636,788,2848,2212
renos,FALSE,6114493,3734,654,3080,2194
resin,TRUE,6114032,3708,715,2993,2211.5
reads,FALSE,6113423,3790,759,3031,2274.5
trode,FALSE,6113307,3603,1153,2450,2378
plate,TRUE,6113253,3626,1213,2413,2419.5
snarl,TRUE,6113051,3562,1068,2494,2315
yeast,TRUE,6112433,3667,979,2688,2323
teils,FALSE,6112078,3636,855,2781,2245.5
slade,FALSE,6111800,3601,1367,2234,2484
rents,FALSE,6110623,3728,661,3067,2194.5
pears,FALSE,6110506,3766,879,2887,2322.5
maser,FALSE,6109037,3718,1021,2697,2369.5
paren,FALSE,6108702,3698,1057,2641,2377.5
noise,TRUE,6107920,3544,1177,2367,2360.5
rapes,FALSE,6107784,3766,821,2945,2293.5
urena,FALSE,6107321,3809,723,3086,2266
teloi,FALSE,6105808,3691,646,3045,2168.5
nerts,FALSE,6105477,3728,617,3111,2172.5
aimer,FALSE,6104725,3747,934,2813,2340.5
dearn,FALSE,6104315,3722,942,2780,2332
drole,FALSE,6103837,3584,1208,2376,2396
great,TRUE,6103748,3769,975,2794,2372
estro,FALSE,6101604,3851,409,3442,2130
dealt,TRUE,6100665,3650,1075,2575,2362.5
sabre,FALSE,6100416,3687,1303,2384,2495
roans,FALSE,6099230,3587,909,2678,2248
baler,TRUE,6099074,3717,1119,2598,2418
lance,TRUE,6098229,3611,1107,2504,2359
trues,FALSE,6096846,3635,935,2700,2285
rimae,FALSE,6095679,3747,955,2792,2351
saber,FALSE,6095512,3687,1257,2430,2472
spear,TRUE,6093962,3766,979,2787,2372.5
lathe,TRUE,6093446,3659,955,2704,2307
lites,FALSE,6093400,3636,755,2881,2195.5
tarns,FALSE,6092744,3581,834,2747,2207.5
enrol,FALSE,6091777,3764,610,3154,2187
crine,FALSE,6090932,3538,1337,2201,2437.5
cries,FALSE,6089620,3606,1085,2521,2345.5
crest,TRUE,6089420,3626,1066,2560,2346
telos,FALSE,6089314,3662,671,2991,2166.5
stade,FALSE,6086383,3620,1243,2377,2431.5
escar,FALSE,6086336,3868,519,3349,2193.5
lutea,FALSE,6086262,3737,767,2970,2252
abore,FALSE,6085594,3742,977,2765,2359.5
steil,FALSE,6084137,3636,934,2702,2285
tride,FALSE,6084107,3577,1175,2402,2376
laces,FALSE,6083724,3679,802,2877,2240.5
potae,FALSE,6083290,3651,1119,2532,2385
sceat,FALSE,6082411,3698,999,2699,2348.5
cores,FALSE,6081742,3632,994,2638,2313
palet,FALSE,6080610,3626,1129,2497,2377.5
halse,FALSE,6080011,3610,1080,2530,2345
aloed,FALSE,6079721,3656,1022,2634,2339
triol,FALSE,6079662,3472,970,2502,2221
haste,TRUE,6078974,3629,1016,2613,2322.5
renay,FALSE,6078727,3769,1013,2756,2391
sated,FALSE,6077458,3620,1217,2403,2418.5
asper,FALSE,6076472,3766,745,3021,2255.5
istle,FALSE,6075768,3636,747,2889,2191.5
paise,FALSE,6075413,3576,1307,2269,2441.5
realm,TRUE,6074072,3748,858,2890,2303
heast,FALSE,6073635,3629,1042,2587,2335.5
spate,FALSE,6072585,3596,1297,2299,2446.5
denar,FALSE,6072008,3722,867,2855,2294.5
redia,FALSE,6070805,3819,644,3175,2231.5
perai,FALSE,6069526,3795,721,3074,2258
arson,TRUE,6069232,3587,750,2837,2168.5
reaps,FALSE,6069078,3766,740,3026,2253
trope,TRUE,6068962,3579,1134,2445,2356.5
gares,FALSE,6068583,3720,936,2784,2328
frate,FALSE,6068236,3676,1273,2403,2474.5
urine,TRUE,6068114,3547,1172,2375,2359.5
islet,TRUE,6066810,3636,733,2903,2184.5
maerl,FALSE,6066738,3748,896,2852,2322
alist,FALSE,6066088,3489,1032,2457,2260.5
lated,FALSE,6065976,3650,939,2711,2294.5
apres,FALSE,6065835,3766,719,3047,2242.5
prole,FALSE,6065680,3560,1239,2321,2399.5
throe,FALSE,6064880,3612,1012,2600,2312
mares,FALSE,6064311,3718,928,2790,2323
clart,FALSE,6064011,3509,1111,2398,2310
rains,FALSE,6063886,3561,893,2668,2227
arpen,FALSE,6063134,3698,914,2784,2306
entia,FALSE,6060907,3829,492,3337,2160.5
roues,FALSE,6060110,3641,903,2738,2272
tried,TRUE,6059790,3577,1118,2459,2347.5
recit,FALSE,6059222,3655,814,2841,2234.5
spale,FALSE,6058925,3577,1320,2257,2448.5
ulnae,FALSE,6058164,3620,960,2660,2290
doter,FALSE,6058097,3603,1031,2572,2317
shore,TRUE,6056982,3563,1330,2233,2446.5
segar,FALSE,6056819,3720,1050,2670,2385
salto,FALSE,6056544,3515,979,2536,2247
chare,FALSE,6055046,3629,1225,2404,2427
luser,FALSE,6054568,3616,884,2732,2250
tones,FALSE,6053155,3564,921,2643,2242.5
shoer,FALSE,6052078,3563,1284,2279,2423.5
tyler,FALSE,6050948,3625,814,2811,2219.5
yates,FALSE,6050724,3667,775,2892,2221
baser,FALSE,6050612,3687,1087,2600,2387
brane,FALSE,6050420,3619,1353,2266,2486
braes,FALSE,6049108,3687,1101,2586,2394
tails,FALSE,6047560,3489,917,2572,2203
slyer,FALSE,6047533,3576,1126,2450,2351
rants,FALSE,6046105,3581,723,2858,2152
larns,FALSE,6045842,3562,773,2789,2167.5
sieur,FALSE,6044593,3615,1039,2576,2327
tased,FALSE,6043732,3620,969,2651,2294.5
wrate,FALSE,6042911,3663,1220,2443,2441.5
etnas,FALSE,6042227,3800,487,3313,2143.5
thane,FALSE,6042048,3561,1206,2355,2383.5
presa,FALSE,6041922,3766,821,2945,2293.5
sayne,FALSE,6040868,3550,1305,2245,2427.5
noria,FALSE,6040263,3616,701,2915,2158.5
silen,FALSE,6039850,3519,1128,2391,2323.5
tripe,TRUE,6039762,3553,1156,2397,2354.5
horse,TRUE,6039729,3563,1106,2457,2334.5
roist,FALSE,6038621,3442,1074,2368,2258
oners,FALSE,6038000,3734,493,3241,2113.5
tuner,FALSE,6037563,3567,1004,2563,2285.5
sient,FALSE,6036835,3538,1180,2358,2359
rheas,FALSE,6035967,3799,625,3174,2212
cires,FALSE,6035836,3606,917,2689,2261.5
clote,FALSE,6035801,3492,1206,2286,2349
tsade,FALSE,6035535,3620,965,2655,2292.5
paste,TRUE,6034082,3596,1089,2507,2342.5
dorse,FALSE,6032994,3554,1148,2406,2351
prose,TRUE,6031915,3530,1248,2282,2389
crape,FALSE,6031606,3596,1246,2350,2421
seton,FALSE,6030230,3564,981,2583,2272.5
yales,FALSE,6030040,3648,776,2872,2212
ranis,FALSE,6029955,3561,742,2819,2151.5
rages,FALSE,6029917,3720,830,2890,2275
repla,FALSE,6029498,3796,631,3165,2213.5
cadre,FALSE,6028343,3620,1153,2467,2386.5
carol,TRUE,6028284,3515,953,2562,2234
olent,FALSE,6027812,3594,854,2740,2224
shire,TRUE,6027782,3537,1352,2185,2444.5
lepra,FALSE,6027306,3796,604,3192,2200
styre,FALSE,6027020,3595,1048,2547,2321.5
daine,FALSE,6026113,3532,1287,2245,2409.5
gears,FALSE,6026039,3720,852,2868,2286
lirot,FALSE,6025966,3472,838,2634,2155
neist,FALSE,6025906,3538,969,2569,2253.5
losen,FALSE,6025812,3545,895,2650,2220
saint,TRUE,6025178,3391,1371,2020,2381
naris,FALSE,6024809,3561,698,2863,2129.5
toper,FALSE,6023142,3579,1016,2563,2297.5
shier,FALSE,6022878,3537,1306,2231,2421.5
range,TRUE,6022795,3652,1048,2604,2350
maile,FALSE,6020439,3558,1263,2295,2410.5
seric,FALSE,6020219,3606,960,2646,2283
inlet,TRUE,6019463,3568,804,2764,2186
eards,FALSE,6019391,3790,644,3146,2217
leapt,TRUE,6018888,3626,940,2686,2283
flare,TRUE,6017621,3657,1220,2437,2438.5
eyras,FALSE,6017178,3837,457,3380,2147
regal,TRUE,6017169,3750,733,3017,2241.5
pilae,FALSE,6016700,3606,1043,2563,2324.5
sored,FALSE,6016492,3554,1244,2310,2399
retag,FALSE,6016141,3769,662,3107,2215.5
rouen,FALSE,6015762,3573,997,2576,2285
slant,TRUE,6015593,3392,1309,2083,2350.5
diane,FALSE,6015551,3532,1226,2306,2379
aruhe,FALSE,6013948,3638,1025,2613,2331.5
tuile,FALSE,6012872,3475,1187,2288,2331
ancle,FALSE,6012161,3611,870,2741,2240.5
recto,FALSE,6012150,3681,600,3081,2140.5
lapse,TRUE,6012103,3577,1045,2532,2311
hates,FALSE,6011926,3629,838,2791,2233.5
farle,FALSE,6011354,3657,1189,2468,2423
touse,FALSE,6011331,3471,1188,2283,2329.5
abler,FALSE,6011196,3717,799,2918,2258
leash,TRUE,6011143,3610,947,2663,2278.5
taroc,FALSE,6011141,3534,779,2755,2156.5
lures,FALSE,6009842,3616,791,2825,2203.5
airns,FALSE,6009800,3561,724,2837,2142.5
canes,FALSE,6009655,3581,995,2586,2288
ailed,FALSE,6009250,3630,891,2739,2260.5
cesta,FALSE,6008936,3698,723,2975,2210.5
togae,FALSE,6008625,3605,1082,2523,2343.5
cared,FALSE,6008412,3620,1101,2519,2360.5
tines,FALSE,6007249,3538,844,2694,2191
redan,FALSE,6007215,3722,715,3007,2218.5
smear,TRUE,6006249,3718,956,2762,2337
tired,FALSE,6006006,3577,950,2627,2263.5
bares,FALSE,6005886,3687,994,2693,2340.5
ceros,FALSE,6005532,3632,771,2861,2201.5
